strategy,stocks_tested,number_profitable,pct_profitable,median_net_pnl,mean_net_pnl,p10_net_pnl,p25_net_pnl,p75_net_pnl,p90_net_pnl,median_sharpe,median_drawdown,equal_weight_pnl,pct_profitable_0bps,median_pnl_0bps,pct_profitable_5bps,median_pnl_5bps,pct_profitable_10bps,median_pnl_10bps,pct_profitable_20bps,median_pnl_20bps,pct_profitable_30bps,median_pnl_30bps
gap_fade_050,3328,2970,0.8924278846153846,1533501.832765075,1.032518725010611e+41,-1561.3050698071104,59367.35737578567,704832906.7021965,4014535530409.377,1.393009106011364,-0.3174800965308991,26185882185.32067,0.9600360576923076,7143303.3511545565,0.9365985576923076,3482815.2417140338,0.8924278846153846,1533501.832765075,0.7662259615384616,322926.26013906393,0.6078725961538461,42899.551781776725
gap_fade_100,3328,3032,0.9110576923076924,839992.8683071376,1.032518725010611e+41,2798.156250223502,53068.76208437389,320226580.96371603,2268746183544.9707,1.3819865017282669,-0.2604990280716872,11366765935.837366,0.9528245192307692,1886527.0185029565,0.939903846153846,1265052.952113825,0.9110576923076924,839992.8683071376,0.8422475961538461,381964.33653737255,0.7484975961538461,144610.40400942185
close_to_open,3328,2627,0.7893629807692307,208556.1029747721,2050966486057.192,-39114.62246500878,7882.918228948474,5960658.4221014045,285861262.3156893,0.8925429790155573,-0.4472564053776629,17065435.607559007,0.9474158653846154,5414567.578444805,0.91015625,1134593.762241534,0.7893629807692307,208556.1029747721,0.4233774038461538,-19773.11049329125,0.2169471153846154,-83479.08887649843
volume_reversal,3328,1524,0.4579326923076923,0.0,14825.638438864778,-39448.912459240666,-20024.283699085376,21787.696883425426,78209.23270088805,0.0497639230585822,-0.2865070043376314,20043.62860688567,0.6135817307692307,9450.501375486994,0.5396634615384616,2987.3297194829647,0.4579326923076923,0.0,0.2947716346153846,-10059.739843093908,0.1784855769230769,-23247.35460603432
volume_continuation,3328,462,0.1388221153846154,-30358.872019468094,-30318.34053031926,-79985.67507817397,-61697.620813326444,-3995.669213008099,3687.426186479268,-0.3745893251311801,-0.4195960102539998,-60737.07113598973,0.2322716346153846,-18279.58024900033,0.1811899038461538,-24565.91278577288,0.1388221153846154,-30358.872019468094,0.0847355769230769,-42210.12108202929,0.0573918269230769,-52476.72088441506
reversal_5d,3328,784,0.235576923076923,-36264.59557985206,-19724.324217846894,-91327.9894512777,-74414.42533466282,0.0,35042.82798227268,-0.1823138249215733,-0.6222016749972699,-60982.13335553328,0.5691105769230769,6990.3566509893935,0.3813100961538461,-10986.839368131135,0.235576923076923,-36264.59557985206,0.0841346153846153,-72034.7417740465,0.0426682692307692,-88065.62870957391
reversal_1d,3328,625,0.1878004807692307,-49606.47997334403,-26734.202532545427,-95183.1145846455,-83502.37392612909,-7517.9225601744,20603.99580701013,-0.2853133337648907,-0.6821358019457366,-76379.27110528681,0.4717548076923077,-1946.070021105239,0.3070913461538461,-26107.639434024797,0.1878004807692307,-49606.47997334403,0.0775240384615384,-79444.39352176174,0.0423677884615384,-91678.7364098052
momentum_1d,3328,352,0.1057692307692307,-66891.58297815928,150663134018953.56,-98302.16382472248,-91214.3621906804,-23891.981597624184,332.9017659422686,-0.4654221759966637,-0.7694221417743332,-90531.13359229211,0.3185096153846153,-24189.84280670064,0.1805889423076923,-48365.74420986019,0.1057692307692307,-66891.58297815928,0.0477764423076923,-87605.129836894,0.0294471153846153,-95299.84183596996
momentum_5d,3328,242,0.0727163461538461,-74363.09161466488,60464026047254.53,-98585.12872681086,-93615.10116674103,-30007.151609229182,0.0,-0.5752803325582203,-0.8047008928245344,-92916.40402296984,0.2028245192307692,-37950.086113903664,0.1078725961538461,-59971.24541085854,0.0727163461538461,-74363.09161466488,0.0384615384615384,-89730.09483940486,0.0234375,-95614.66198820031
turn_of_month,3328,237,0.0712139423076923,-75980.04912600013,-22602.09726144991,-98411.66577908288,-93416.00358399157,-31343.301724276065,-3707.3470482570137,-0.7712656357896991,-0.80178931089199,-94814.96785602656,0.1920072115384615,-42316.422314954274,0.1099759615384615,-61782.37401906589,0.0712139423076923,-75980.04912600013,0.0447716346153846,-90095.53299001238,0.0318509615384615,-95444.39709003794
gap_continuation_100,3328,51,0.0153245192307692,-98502.61615293012,-80492.7233663825,-99999.99999446084,-99999.46257532372,-72536.34791781899,-25139.128183538494,-2.052985105162497,-0.986276833765938,-99999.98081876282,0.02734375,-96664.57061108116,0.0198317307692307,-97739.24470330818,0.0153245192307692,-98502.61615293012,0.0114182692307692,-99339.26566845634,0.0072115384615384,-99692.95282625032
gap_continuation_050,3328,50,0.0150240384615384,-99851.39840260764,-85183.05134773403,-99999.99999939528,-99999.96208490664,-87566.53378485222,-35601.748714546105,-2.511054925870016,-0.9986861538147996,-99999.99906834969,0.0255408653846153,-99291.1821005581,0.0189302884615384,-99679.4875159921,0.0150240384615384,-99851.39840260764,0.0087139423076923,-99973.54080258567,0.0066105769230769,-99995.43886596269
open_to_close,3328,127,0.0381610576923076,-99873.79432216754,1377577112.585992,-99999.99207214382,-99998.98095888586,-85530.85863455667,-22727.156905843705,-1.8953858326147843,-0.9990529164327296,-99999.70644407244,0.0799278846153846,-97169.20213669012,0.0486778846153846,-99388.97441599754,0.0381610576923076,-99873.79432216754,0.0249399038461538,-99992.78102178726,0.0186298076923076,-99999.44084404194
