pnl_rank,isin,number_of_signals,number_of_trades,gross_pnl,net_pnl,gross_return_pct,net_return_pct,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,average_trade_return,median_trade_return,profit_factor,best_trade,worst_trade,exposure_pct,turnover,trade_std,standard_error,t_stat,p_value,confidence_95_low,confidence_95_high,positive_months,negative_months,best_month,worst_month,monthly_return_std,buy_hold_pnl,excess_pnl,pnl_0bps,pnl_5bps,pnl_10bps,pnl_20bps,pnl_30bps,symbol,company_name,series,first_traded_date,last_traded_date,sessions_available,median_daily_value,median_volume,pct_near_zero_volume,average_daily_range,circuit_like_sessions,corporate_action_observations,coverage_ratio,liquidity_flag,coverage_flag,new_listing_flag,suspension_flag,strategy,parameters,execution_class,evaluation_start,evaluation_end
1,INE512B01022,2320,2320,6.172997376166227e+17,6187009157645007.0,6172997376166.227,61870091576.45007,1.3484108763618845,2.5455737545482573,3.636075210545944,-0.967885487010625,0.42801724137931035,0.014489872407369857,-0.002,1.9131488934113339,0.3313333333333335,-0.2520000000000001,0.940032414910859,4640.0,0.08753858772280557,0.0018174210057897745,7.972766002598924,2.412132082970015e-15,0.010925932566891238,0.018053812247848477,92,24,10.211554997939793,-0.912056952952627,1.2144793293422926,-74482.93864727013,6187009157719490.0,6.172997376166227e+17,6.18711075431598e+16,6187009157645007.0,61441475948902.69,604536419423.677,FCSSOFT,FCS SOFTWARE SOLN. LTD.,EQ,2016-08-29,2026-08-27,2352,2996247.2,1874331.5,0.0,0.112784013190898,154,16,0.9529983792544571,OK,FULL,False,True,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
12,INE110B01017,2465,2465,512868695023614.7,3849446934778.9814,5128686950.236147,38494469.34778982,0.4279956229503683,4.394054205142917,6.704484207668681,-0.6072988106242294,0.593103448275862,0.007471923703405968,0.004134969325153339,2.223086142353459,0.1635844155844155,-0.217903555772041,0.9987844408427877,4930.0,0.02697633975390788,0.0005433436062470991,13.751746809012644,1.6296412314459521e-41,0.006406466435006539,0.008537380971805397,99,22,1.9645814050977028,-0.36936646219381386,0.31477319891238675,124972.0337847856,3849446809806.9478,512868695023614.7,44486651365661.73,3849446934778.9814,28612842337.501747,210511378.74334568,MINDTECK,MINDTECK (INDIA) LIMITED,EQ,2016-08-29,2026-08-27,2467,2195651.5,21771.0,0.0,0.06034003826227444,47,0,0.9995948136142626,OK,FULL,False,True,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
15,INE600A01035,2467,2467,240158107341373.9,1793398679648.3577,2401581073.413739,17933986.796483576,0.3745906482547732,4.753686947995776,6.779759771579448,-0.7107101426633247,0.5918119173084718,0.007069081261558253,0.005012622720897532,2.4498600465706866,0.19709502262443435,-0.14088888888888884,0.9995948136142626,4934.0,0.023601347682063165,0.0004751735170067281,14.876841845245682,5.280588140721138e-48,0.006137300948269259,0.008000861574847246,105,16,0.9135205241700568,-0.6563308097038316,0.2059616989789803,-22392.34449760776,1793398702040.7021,240158107341373.9,20778542746785.633,1793398679648.3577,13262353002.8373,97022829.58875811,PILITA,PIL ITALICA LIFESTYLE LTD,EQ,2016-08-29,2026-08-27,2468,1178310.675,115565.0,0.0,0.06012512137429921,29,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
22,INE819L01012,2467,2467,83230038087819.72,619941147696.9768,832300380.8781972,6199411.476969768,0.44218615910564846,3.8371449199442016,7.23398302480313,-0.7555624454844575,0.5370895824888529,0.006735794228633956,0.0025180722891566826,2.141379063521511,0.1973670886075949,-0.16345833333333326,0.9995948136142626,4934.0,0.027860426969972627,0.0005609229289347818,12.008413065633698,2.5122666820166423e-32,0.00563586562624421,0.007835722831023703,96,25,2.116174213967376,-0.5080643109694039,0.34368335198374317,81750.00000000061,619941065946.9768,83230038087819.72,7191905526541.254,619941147696.9768,4572710561.867916,33301133.16267515,ELGIRUBCO,ELGI RUBBER CO. LTD,EQ,2016-08-29,2026-08-27,2468,1039517.45,25183.5,0.0008103727714748784,0.05866279138131449,64,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
25,INE741L01018,2467,2467,58183745826542.7,433077761804.82434,581837458.265427,4330777.618048243,0.4269676962963178,3.879492946918454,5.673335764364893,-0.6506613053791815,0.5800567490879611,0.0065757523670159895,0.0056045627376426505,1.9432701830596322,0.19553086419753085,-0.26823376623376627,0.9995948136142626,4934.0,0.026901563851568038,0.0005416178296481584,12.140945159223577,5.488224050887865e-33,0.0055136796442524436,0.007637825089779535,97,24,1.202086919103139,-0.4722784334145901,0.23614624686357338,-83622.64150943392,433077845427.4658,58183745826542.7,5025886221610.939,433077761804.82434,3192108227.736092,23200241.941101357,DUCON,DUCON INFRATECHNOLOGIES L,EQ,2016-08-29,2026-08-27,2468,1946449.05,156479.0,0.0,0.057857305526432014,209,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
31,INE544H01014,2467,2467,30056884449525.97,223586482776.48593,300568844.4952597,2235864.8277648594,0.3338280829973012,4.651146692326842,6.823151116645283,-0.33861152600577193,0.6072152411836238,0.006163939544539558,0.0046334991708127955,2.2943278116622516,0.11672146118721471,-0.1402316313823162,0.9995948136142626,4934.0,0.021033089862667397,0.0004234659570376087,14.555926969100206,4.137571163827581e-46,0.005333553952763955,0.006994325136315161,110,11,0.8647634630051011,-0.3172930191986205,0.14937183830857856,-74244.60431654665,223586557021.09024,30056884449525.97,2595515560929.9834,223586482776.48593,1646957116.0319676,11914779.44333698,JHS,JHS SVEND. LAB. LTD,EQ,2016-08-29,2026-08-27,2468,1945405.85,82741.0,0.0,0.05631833584024699,67,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
34,INE272L01022,2467,2467,20145879761637.066,149662058907.21252,201458797.61637068,1496620.5890721253,0.40930282093653186,3.7602178884429898,5.760044601779003,-0.6049257578468334,0.5581678151601135,0.006109887504646876,0.0045359477124184994,1.9494254837073028,0.16691891891891886,-0.17963157894736848,0.9995948136142626,4934.0,0.02578858808423682,0.0005192099308777012,11.767663022774592,3.8357983169695123e-31,0.005091755023056722,0.00712801998623703,95,26,0.7179988688446972,-0.30608815176991266,0.1880480814196387,5165.289256197837,149662053741.92328,20145879761637.066,1738514434726.2551,149662058907.21252,1100921255.5031247,7920849.787762457,SURANASOL,SURANA SOLAR LIMITED,EQ,2016-08-29,2026-08-27,2468,1052433.325,53329.5,0.0,0.05670433073686808,59,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
37,INE281A01026,2467,2467,18116513455338.69,134575649762.04843,181165134.55338693,1345756.4976204843,0.3923233826289746,3.8777491139409155,5.763807416039009,-0.5568096073033038,0.5610052695581678,0.00603947746868144,0.004849315068493178,2.0366835211787153,0.15263917525773207,-0.14046153846153853,0.9995948136142626,4934.0,0.024718761476993933,0.0004976707680129753,12.135487669478666,5.844683897802846e-33,0.005063581701057382,0.007015373236305498,95,26,1.1714124320316803,-0.2455968141861784,0.19143285402473453,841249.9999999953,134574808512.04843,18116513455338.69,1563327179018.759,134575649762.04843,989858588.1701247,7111213.185430942,CENTEXT,CENTURY EXTRUSIONS LTD,EQ,2016-08-29,2026-08-27,2468,1189380.275,117417.5,0.0,0.061849134868877824,63,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
38,INE569C01020,2467,2467,17472424119669.037,129861115821.32227,174724241.19669038,1298611.1582132226,0.3012653089911926,4.933169825894802,8.071091602913828,-0.20058816978811134,0.5946493717065261,0.005899981591837055,0.004681514476614803,2.5132942398974447,0.16137322571667134,-0.13314754098360648,0.9995948136142626,4934.0,0.01898140647224497,0.0003821587560444963,15.43856185032719,2.1163486727998958e-51,0.005150596382668862,0.0066493668010052485,110,11,0.4120258699423698,-0.057711235530110816,0.09510437073626053,24594.222833562584,129861091227.09943,17472424119669.037,1508152394356.2227,129861115821.32227,955697296.6648334,6866188.733915354,ORIENTCER,ORIENT CERATECH LIMITED,EQ,2016-08-29,2026-08-27,2468,1718758.2999999998,52504.5,0.0,0.055083310207207976,1,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
39,INE417B01040,2432,2432,15989839180407.926,127330206645.33723,159898391.80407926,1273302.0664533724,0.43356182973927937,3.532706910663047,5.675634305292101,-0.8040434478414991,0.5604440789473685,0.00616793363681231,0.0030785692515694647,1.9559724196604065,0.19762686567164178,-0.12580952380952393,0.9854132901134521,4864.0,0.02750322079316926,0.000557701445342632,11.059561864723069,8.949278758817575e-28,0.005074314395017942,0.007261552878606678,93,28,0.8796920374850536,-0.46574638896534926,0.2096662908391375,9379444.438886069,127320827200.89835,15989839180407.926,1428596769211.7683,127330206645.33723,1004139103.032669,7744105.287327344,DSSL,DYNACONS SYS & SOLN LTD,EQ,2016-08-30,2026-08-27,2448,4267654.775,19947.5,0.007352941176470588,0.05811384290991059,83,0,0.9918962722852512,OK,FULL,True,True,close_to_open,{},LONG_ONLY,2016-08-29,2026-08-27
