combination_rank,pnl_rank,isin,number_of_signals,number_of_trades,gross_pnl,net_pnl,gross_return_pct,net_return_pct,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,average_trade_return,median_trade_return,profit_factor,best_trade,worst_trade,exposure_pct,turnover,trade_std,standard_error,t_stat,p_value,confidence_95_low,confidence_95_high,positive_months,negative_months,best_month,worst_month,monthly_return_std,buy_hold_pnl,excess_pnl,pnl_0bps,pnl_5bps,pnl_10bps,pnl_20bps,pnl_30bps,symbol,company_name,series,first_traded_date,last_traded_date,sessions_available,median_daily_value,median_volume,pct_near_zero_volume,average_daily_range,circuit_like_sessions,corporate_action_observations,coverage_ratio,liquidity_flag,coverage_flag,new_listing_flag,suspension_flag,strategy,parameters,execution_class,evaluation_start,evaluation_end,score_net_pnl,score_sharpe,score_pnl_30bps,score_max_drawdown,score_excess_pnl,combination_score,positive_pillars,evidence_tier,sample_tier,profit_rank,comparable_rank
1,3,INE216D01026,301,301,2.732126931006264e+34,1.6781641041352684e+34,2.732126931006264e+29,1.6781641041352684e+29,1.8511999459323976,4.45048913617979,,-0.009960079920032,0.760797342192691,0.2680644316923387,0.2480000000000001,561.3291245791245,0.998,-0.002,0.1219611021069692,602.0,0.2202815953042722,0.0126968200729984,21.11272193755147,2.839651548037081e-61,0.2430783212372486,0.2930505421474288,50,1,52.56947321115587,-0.0039959999999999,5.363437305286917,-99999.99999680003,1.6781641041352684e+34,2.732126931006264e+34,2.141467942434877e+34,1.6781641041352684e+34,1.0299495749027254e+34,6.316031360053733e+33,KSERASERA,KSERASERA,BZ,2016-08-29,2021-06-14,1076,152586.125,1031524.0,0.0,0.3818516417494113,4,292,0.4359805510534846,LOW,PARTIAL,False,True,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.98959850218432,98.43399671774958,99.98959850218432,97.02054873679587,99.98959850218432,99.23312068048912,5,ROBUST POSITIVE,LIMITED SAMPLE,5,
2,3,INE216D01026,301,301,2.732126931006264e+34,1.6781641041352684e+34,2.732126931006264e+29,1.6781641041352684e+29,1.8511999459323976,4.45048913617979,,-0.009960079920032,0.760797342192691,0.2680644316923387,0.2480000000000001,561.3291245791245,0.998,-0.002,0.1219611021069692,602.0,0.2202815953042722,0.0126968200729984,21.11272193755147,2.839651548037081e-61,0.2430783212372486,0.2930505421474288,50,1,52.56947321115587,-0.0039959999999999,5.363437305286917,-99999.99999680003,1.6781641041352684e+34,2.732126931006264e+34,2.141467942434877e+34,1.6781641041352684e+34,1.0299495749027254e+34,6.316031360053733e+33,KSERASERA,KSERASERA,BZ,2016-08-29,2021-06-14,1076,152586.125,1031524.0,0.0,0.3818516417494113,4,292,0.4359805510534846,LOW,PARTIAL,False,True,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.98959850218432,98.43399671774958,99.98959850218432,97.02054873679587,99.98959850218432,99.23312068048912,5,ROBUST POSITIVE,LIMITED SAMPLE,5,
3,2,INE533D01024,433,433,6.30359255588627e+36,2.9986167908481914e+36,6.30359255588627e+31,2.9986167908481914e+31,2.015461335448127,4.447509005054817,1.29812519980608e+18,-0.0178566699880265,0.6143187066974596,0.2027440069176246,0.1646666666666667,263.838787411172,0.998,-0.002,0.1754457050243111,866.0,0.2409984471657136,0.0115816462606528,17.50562936863485,3.0271624437147e-52,0.1799806227482469,0.2255073910870023,55,0,319.3466279025669,0.0,29.45208382996916,-99897.113199079,2.9986167908481914e+36,6.30359255588627e+36,4.348361061495788e+36,2.9986167908481914e+36,1.4245719977052688e+36,6.758905609722088e+35,RAJRAYON,RAJRAYON,BZ,2016-08-29,2021-10-22,1209,32175.4,210554.0,0.0008271298593879,0.3253103763576687,203,143,0.489870340356564,LOW,PARTIAL,False,True,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.9942213901024,98.42706238587246,99.9942213901024,96.56866144280332,99.9942213901024,99.16695559716156,5,ROBUST POSITIVE,LIMITED SAMPLE,3,
4,2,INE533D01024,433,433,6.30359255588627e+36,2.9986167908481914e+36,6.30359255588627e+31,2.9986167908481914e+31,2.015461335448127,4.447509005054817,1.29812519980608e+18,-0.0178566699880265,0.6143187066974596,0.2027440069176246,0.1646666666666667,263.838787411172,0.998,-0.002,0.1754457050243111,866.0,0.2409984471657136,0.0115816462606528,17.50562936863485,3.0271624437147e-52,0.1799806227482469,0.2255073910870023,55,0,319.3466279025669,0.0,29.45208382996916,-99897.113199079,2.9986167908481914e+36,6.30359255588627e+36,4.348361061495788e+36,2.9986167908481914e+36,1.4245719977052688e+36,6.758905609722088e+35,RAJRAYON,RAJRAYON,BZ,2016-08-29,2021-10-22,1209,32175.4,210554.0,0.0008271298593879,0.3253103763576687,203,143,0.489870340356564,LOW,PARTIAL,False,True,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.9942213901024,98.42706238587246,99.9942213901024,96.56866144280332,99.9942213901024,99.16695559716156,5,ROBUST POSITIVE,LIMITED SAMPLE,3,
5,5,INE516K01024,1239,1239,1.3466000035980542e+28,1.2454368375430356e+27,1.3466000035980542e+23,1.2454368375430357e+22,0.8772288039365681,6.366553781957562,100.30561328466936,-0.0664645355142315,0.5020177562550444,0.0441459232319399,0.0070909090909091,35.11720005482067,0.6646666666666667,-0.034258064516129,0.5020259319286872,2478.0,0.0715116585382708,0.0020316140020944,21.729483645234023,5.980521212407763e-89,0.0401601362088129,0.0481317102550669,96,8,5.649387572026025,-0.0430882037979343,0.9980444595811896,1326174.619186616,1.2454368375430356e+27,1.3466000035980542e+28,4.097598341607138e+27,1.2454368375430356e+27,1.1465873030936246e+26,1.0507202809282615e+25,GOENKA,GOENKA DIAMOND&JEWELS LTD,BZ,2016-08-29,2025-12-15,2066,95958.175,123886.5,0.0029041626331074,0.1045403180036589,285,0,0.8371150729335495,LOW,PARTIAL,False,True,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.98150844832767,99.72724961283313,99.97688556040958,93.58343156970159,99.98150844832767,98.97002057185122,5,ROBUST POSITIVE,LIMITED SAMPLE,9,
6,1,INE861A01058,418,418,6.8617798639847525e+44,3.4362222866813283e+44,6.861779863984753e+39,3.436222286681328e+39,2.877679906699599,4.236856271281047,1.764995045565151e+18,-0.0507205628903091,0.645933014354067,0.2856633656252095,0.0979999999999999,404.402996051816,0.998,-0.002,0.1693679092382496,836.0,0.3556183840863719,0.01739386372992,16.42322660800344,4.1922175175950227e-47,0.251472784269669,0.31985394698075,63,4,252.9591536819057,-0.0373236903543657,31.02182328217689,-99977.03944554956,3.4362222866813283e+44,6.8617798639847525e+44,4.8565092995810305e+44,3.4362222866813283e+44,1.7187119897061954e+44,8.586189356569964e+43,VISESHINFO,VISESH INFOTECNICS LTD,BZ,2016-08-29,2024-12-02,1412,1224214.5,4784856.0,0.0,0.3702489445142174,81,280,0.5721231766612642,OK,PARTIAL,False,True,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.99884427802048,98.17511499433697,99.99884427802048,94.57388530615076,99.99884427802048,98.82035457550333,5,ROBUST POSITIVE,LIMITED SAMPLE,1,
7,1,INE861A01058,418,418,6.8617798639847525e+44,3.4362222866813283e+44,6.861779863984753e+39,3.436222286681328e+39,2.877679906699599,4.236856271281047,1.764995045565151e+18,-0.0507205628903091,0.645933014354067,0.2856633656252095,0.0979999999999999,404.402996051816,0.998,-0.002,0.1693679092382496,836.0,0.3556183840863719,0.01739386372992,16.42322660800344,4.1922175175950227e-47,0.251472784269669,0.31985394698075,63,4,252.9591536819057,-0.0373236903543657,31.02182328217689,-99977.03944554956,3.4362222866813283e+44,6.8617798639847525e+44,4.8565092995810305e+44,3.4362222866813283e+44,1.7187119897061954e+44,8.586189356569964e+43,VISESHINFO,VISESH INFOTECNICS LTD,BZ,2016-08-29,2024-12-02,1412,1224214.5,4784856.0,0.0,0.3702489445142174,81,280,0.5721231766612642,OK,PARTIAL,False,True,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.99884427802048,98.17511499433697,99.99884427802048,94.57388530615076,99.99884427802048,98.82035457550333,5,ROBUST POSITIVE,LIMITED SAMPLE,1,
8,5,INE516K01024,1244,1244,1.354383796682724e+28,1.2401588864288665e+27,1.354383796682724e+23,1.2401588864288666e+22,0.8779413203541134,6.361602073004146,80.0287004101972,-0.0862672806255894,0.5016077170418006,0.0439699755094246,0.0068557993730407,32.75810582855501,0.6646666666666667,-0.052,0.5040518638573744,2488.0,0.0714908301118041,0.0020269365298897,21.69282306625335,9.479659206424234e-89,0.0399933807886698,0.0479465702301793,96,8,5.649387572026025,-0.0430882037979343,0.9981803646639716,1326174.619186616,1.2401588864288665e+27,1.354383796682724e+28,4.1007175437763217e+27,1.2401588864288665e+27,1.1303332226451498e+26,1.0254664197905123e+25,GOENKA,GOENKA DIAMOND&JEWELS LTD,BZ,2016-08-29,2025-12-15,2066,95958.175,123886.5,0.0029041626331074,0.1045403180036589,285,0,0.8371150729335495,LOW,PARTIAL,False,True,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.97919700436863,99.72262672491506,99.97457411645054,92.24741696137578,99.97919700436863,98.76719136444535,5,ROBUST POSITIVE,LIMITED SAMPLE,10,
9,116,INE262A01018,1567,1567,2.201698311896186e+17,1.0102306287615904e+16,2201698311896.186,101023062876.15904,0.3433786946534718,7.740871422700443,15.615127401925267,-0.1050309398448174,0.6975111678366305,0.0166126462483429,0.01471875,6.071245218642907,0.1033468738529304,-0.0423764420157862,0.6349270664505673,3134.0,0.0252245507038757,0.0006372193293143,26.070530952377883,9.573008889112002e-125,0.0153627532805482,0.0178625392161377,117,4,0.6358201691559606,-0.0402137119964564,0.1464507411153429,68926.701570681,1.0102306287546978e+16,2.201698311896186e+17,4.7197431342399e+16,1.0102306287615904e+16,460727901540849.2,20884271093700.22,HMT,HMT LTD -,BZ,2016-08-29,2026-08-27,2468,216271.025,6880.5,0.002836304700162,0.0477902122295267,79,0,1.0,LOW,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.43600767399394,99.98844278020479,99.39671312669024,90.90677946513188,99.43600767399394,98.25925155444608,5,ROBUST POSITIVE,LOW LIQUIDITY,245,
10,57,INE173A01025,1819,1819,6.926277598498901e+19,1.9404030856345185e+18,692627759849890.1,19404030856345.184,0.3817681346022376,8.420535086174588,15.122290710774864,-0.1297187583010146,0.7179769103903244,0.0173081751428777,0.014146016146016,6.2420276948065,0.1008708133971292,-0.0980893854748603,0.7370340356564019,3638.0,0.0265707818602965,0.000622999910728,27.78198655381995,6.92343044184685e-142,0.0160863042832721,0.0185300460024834,120,1,0.9511396463352452,-0.0030441190529584,0.1764496932533518,-14864.97420528176,1.940403085634533e+18,6.926277598498901e+19,1.1603195603778918e+19,1.9404030856345185e+18,5.397895709226357e+16,1491026637390407.2,SIL,STANDARD INDUSTRIES LTD.,EQ,2016-08-29,2026-08-27,2454,378344.35,20736.5,0.0093724531377343,0.0482989253614675,90,0,0.994327390599676,LOW,FULL,False,True,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2016-08-29,2026-08-27,99.75036405242355,100.0,99.7133809490789,89.05068996602178,99.75036405242355,98.18794350830966,5,ROBUST POSITIVE,LOW LIQUIDITY,109,
