strategy,stocks_tested,number_profitable,pct_profitable,median_net_pnl,mean_net_pnl,p10_net_pnl,p25_net_pnl,p75_net_pnl,p90_net_pnl,median_sharpe,median_drawdown,equal_weight_pnl,pct_profitable_0bps,median_pnl_0bps,pct_profitable_5bps,median_pnl_5bps,pct_profitable_10bps,median_pnl_10bps,pct_profitable_20bps,median_pnl_20bps,pct_profitable_30bps,median_pnl_30bps
gap_fade_050,2652,1831,0.6904223227752639,25035.41840706238,326500.0643460629,-27649.14323978454,-6808.5440144944805,189988.7280166637,792078.9062251587,1.263559076860146,-0.1973842483019902,114690.89533013591,0.8152337858220211,51117.676520505134,0.7549019607843137,37022.74471953244,0.6904223227752639,25035.41840706238,0.5637254901960784,7429.194575599948,0.4619155354449472,-5361.759925165425
gap_fade_100,2652,1907,0.719079939668175,21152.07497890754,302085.6617455595,-17759.13368309963,-1929.2271000722903,150888.26362745336,674712.3674901788,1.3096489214223308,-0.1480515285062908,107657.24670945184,0.7956259426847662,31986.25081419632,0.7609351432880844,26312.883121661565,0.719079939668175,21152.07497890754,0.6368778280542986,11765.26267358978,0.5512820512820513,4057.5474937759054
close_to_open,2652,1517,0.5720211161387632,6039.767592563876,81101.61341260039,-30524.530470017424,-14724.336684114043,52565.52386611772,186585.6940929242,0.5544484633063831,-0.1968763536024756,33607.645886530634,0.9306184012066364,61433.018482150175,0.802790346907994,28729.700020340875,0.5720211161387632,6039.767592563876,0.3042986425339366,-27613.059336189493,0.1749622926093514,-55269.34023525205
volume_reversal,2652,1122,0.4230769230769231,0.0,-327.4634729939024,-16752.645572160745,-8233.522890054563,6475.537969958892,16607.93673119877,-0.0491800926211601,-0.0969682988739259,-397.18420428001264,0.5101809954751131,302.22277012837003,0.4656862745098039,0.0,0.4230769230769231,0.0,0.3344645550527903,-2286.318327238965,0.2662141779788838,-4999.724336592895
volume_continuation,2652,744,0.2805429864253393,-4224.744608974521,-5322.351557562379,-22443.0412361269,-13375.502359821883,1093.2748360191108,8925.03633048876,-0.5018779559876793,-0.1165044243255431,-6258.966158404248,0.3597285067873303,-1538.1358076990437,0.3212669683257919,-2925.2328930327712,0.2805429864253393,-4224.744608974521,0.2081447963800905,-6897.76446733113,0.1504524886877828,-9700.230991936616
reversal_5d,2652,823,0.3103318250377074,-7467.05401732427,-8239.178750349984,-38411.11656066864,-23792.018759276765,3216.9063349396747,18915.779363227623,-0.3826299647819093,-0.238805122743489,-10544.602112262595,0.5094268476621417,282.64646266912314,0.4110105580693816,-2512.252050101008,0.3103318250377074,-7467.05401732427,0.1745852187028657,-18151.766260360848,0.0946455505279034,-27920.214667345903
reversal_1d,2652,804,0.3031674208144796,-10503.48576177359,-9455.751614023697,-39731.9989662588,-25891.11278364577,3140.2369659314063,18178.5908701333,-0.4508729712975908,-0.25318875925504,-11934.551058151468,0.5037707390648567,187.6832939848755,0.4012066365007541,-4777.437471427489,0.3031674208144796,-10503.48576177359,0.1530920060331825,-21788.090617523223,0.0750377073906485,-32517.017054347714
momentum_5d,2652,471,0.1776018099547511,-14470.010142292756,-14832.19883869063,-43377.3257471548,-29103.27091458002,-1899.632910984008,7586.367263006264,-0.7860328073677842,-0.2567230545600909,-17584.938439730075,0.3604826546003016,-4197.943448414102,0.2586726998491704,-9138.63252937382,0.1776018099547511,-14470.010142292756,0.0822021116138763,-24830.054961697024,0.0388386123680241,-34496.53986299885
momentum_1d,2652,547,0.2062594268476621,-16087.53462450138,-15869.230631507637,-46023.653345880986,-31922.217553056187,-2021.855817873471,10367.010533740751,-0.763818351692217,-0.2695006604270724,-19196.738595548537,0.393288084464555,-4404.575738736443,0.2937405731523378,-10230.95060292336,0.2062594268476621,-16087.53462450138,0.1052036199095022,-27265.950354038672,0.0524132730015083,-37213.08558500296
turn_of_month,2652,421,0.1587481146304675,-19346.200431247053,-19891.51609121888,-48327.137359585686,-33297.892095240226,-6055.880089876235,4834.219869734921,-1.0875744855512803,-0.2604625167994278,-24609.099166390617,0.3223981900452489,-7983.21678226276,0.223604826546003,-13599.795466787866,0.1587481146304675,-19346.200431247053,0.0701357466063348,-29933.00368638097,0.0365761689291101,-39410.97488879726
gap_continuation_100,2652,273,0.1029411764705882,-33359.52283866398,-40642.120472623305,-93642.49639214264,-75970.68711649238,-11252.890702221524,343.02541042371735,-2.1284302621626456,-0.3641369921238924,-64780.12958848346,0.1644042232277526,-27382.836433986515,0.1297134238310709,-30411.56624481988,0.1029411764705882,-33359.52283866398,0.0644796380090497,-39146.45286154488,0.0365761689291101,-44638.7764270694
gap_continuation_050,2652,178,0.0671191553544494,-49036.337400461714,-49945.99471963516,-95172.89648388673,-82834.14880226241,-23368.33359890668,-4293.287068572256,-2.65166425349322,-0.5214783074433318,-72393.10586808468,0.1470588235294117,-37755.62492259365,0.0987933634992458,-43617.66360691677,0.0671191553544494,-49036.337400461714,0.0282805429864253,-58744.177736906815,0.0128205128205128,-67019.53043986033
open_to_close,2652,111,0.0418552036199095,-62108.434002972026,-57043.18620267351,-89920.63574645757,-78441.88454464548,-42011.56919124161,-15083.307354549746,-2.5146526956339263,-0.658786078677725,-71277.65253756744,0.1349924585218702,-38708.693146542246,0.0641025641025641,-51780.62512155492,0.0418552036199095,-62108.434002972026,0.0222473604826546,-76911.98470818756,0.0139517345399698,-86004.81240718463
