pnl_rank,isin,number_of_signals,number_of_trades,gross_pnl,net_pnl,gross_return_pct,net_return_pct,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,average_trade_return,median_trade_return,profit_factor,best_trade,worst_trade,exposure_pct,turnover,trade_std,standard_error,t_stat,p_value,confidence_95_low,confidence_95_high,positive_months,negative_months,best_month,worst_month,monthly_return_std,buy_hold_pnl,excess_pnl,pnl_0bps,pnl_5bps,pnl_10bps,pnl_20bps,pnl_30bps,symbol,company_name,series,first_traded_date,last_traded_date,sessions_available,median_daily_value,median_volume,pct_near_zero_volume,average_daily_range,circuit_like_sessions,corporate_action_observations,coverage_ratio,liquidity_flag,coverage_flag,new_listing_flag,suspension_flag,strategy,parameters,execution_class,evaluation_start,evaluation_end
1,INE055C01020,251,251,28384644.928506333,17324086.684016835,283.84644928506333,173.24086684016834,0.478714019678111,11.12149937867924,22.975139163159863,-0.1007713721579728,0.7250996015936255,0.0212112257865145,0.0181005025125626,8.712242399890465,0.1346120218579234,-0.0725394190871369,0.996031746031746,502.0,0.030186724805069,0.0019053691744813,11.132344361710736,1.2099792923569568e-23,0.0174586042585008,0.0249638473145282,13,0,1.172696211290432,0.0205618965054681,0.2868136224629171,-33333.33333333336,17357420.017350167,28384644.928506333,22180899.03754035,17324086.684016835,10548049.48095826,6400836.929635727,KEEPLEARN,DSJ KEEP LEARNING LTD,EQ,2025-08-20,2026-08-27,252,90886.855,39279.0,0.0,0.0833324013698841,0,0,1.0,LOW,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
2,INE185E01021,251,251,12387215.87197677,7526508.393104707,123.87215871976773,75.26508393104707,0.4031047481231159,11.042856906440424,23.32224457778232,-0.2269343962551004,0.549800796812749,0.0177347731148616,0.0165185185185186,7.48657245528597,0.0694285714285714,-0.052,0.996031746031746,502.0,0.0254193114506153,0.0016044527118228,11.053471993395837,2.1849302116196028e-23,0.0145748060766075,0.0208947401531157,13,0,0.90995963051366,0.0803656104239936,0.2313899173795258,-67857.14285714288,7594365.53596185,12387215.87197677,9659965.94222688,7526508.393104707,4553332.940602771,2736475.76347173,FILATFASH,FILATEX FASHIONS LIMITED,EQ,2025-08-20,2026-08-27,252,14146219.52,40314658.5,0.0,0.0654445688970291,16,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
3,INE210A01017,251,251,7013652.474132695,4239513.48906552,70.13652474132695,42.39513489065519,0.4961316157022556,7.8952208640551484,22.403162391162667,-0.1030473298051818,0.5737051792828686,0.0156058513291228,0.0081010101010101,4.4739169537353805,0.1474252873563217,-0.0450422064354367,0.996031746031746,502.0,0.0313003023499291,0.0019756575658544,7.8990669227507,8.914704365434593e-14,0.0117147969272237,0.019496905731022,12,1,0.7608750795741885,-0.0101013768506681,0.2601810759468808,-30427.25173210162,4269940.740797621,7013652.474132695,5456735.509496337,4239513.48906552,2544633.825432,1510143.1274131166,WILLAMAGOR,WILLIAMSON MAGOR,EQ,2025-08-20,2026-08-27,252,82845.125,2824.5,0.0198412698412698,0.0629149460776457,0,0,1.0,LOW,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
4,INE278R01034,217,217,6358803.3312113695,4116554.155077914,63.588033312113694,41.16554155077914,0.5385801419601143,7.261794825718094,15.00118707353519,-0.4420751186164814,0.4792626728110599,0.0180233110051634,-0.002,3.9535414867140655,0.0889090909090908,-0.0658297872340425,0.8611111111111112,434.0,0.0359479558698951,0.0024403062541277,7.385675865345614,3.2580838506120773e-12,0.0132134491443022,0.0228331728660247,10,2,1.8684716342217549,-0.4125257357700256,0.6363066724729993,-53741.4965986395,4170295.651676553,6358803.3312113695,5119157.687066887,4116554.155077914,2650414.8869886734,1692553.7995466643,DHARAN,DHARAN INFRA-EPC LIMITED,BZ,2025-08-20,2026-08-27,226,5369915.65,18982618.0,0.0,0.0610118445856398,38,0,0.8968253968253969,OK,PARTIAL,False,True,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
5,INE048C01025,251,251,6700742.064083269,4048896.1452068295,67.00742064083269,40.488961452068295,0.2749988173990849,13.782946250107152,19.76311053952855,-0.0745363659635461,0.8087649402390438,0.0151007725858749,0.0148708111855788,10.773522314939385,0.0913822978340701,-0.0625514236345881,0.996031746031746,502.0,0.0173317194192729,0.0010939684293506,13.80366396390272,1.3381173488005227e-32,0.0129462035218162,0.0172553416499337,13,0,0.7240018794497272,0.0465127319230005,0.1693421293240114,6816.94731124393,4042079.1978955856,6700742.064083269,5212479.53588775,4048896.1452068295,2428630.0638684207,1439617.4623655477,VHLTD,VICEROY HOTELS LIMITED,BE,2025-08-20,2026-08-27,252,1598499.13,11834.5,0.0,0.0422143596947922,0,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
6,INE644Y01017,249,249,6278995.542278704,3806286.328574844,62.789955422787045,38.06286328574844,0.4447462305196741,8.516963317052786,17.373165623269326,-0.1738229213029061,0.6586345381526104,0.0152123989186087,0.0145163081193615,4.567609836932844,0.1496415744603663,-0.0519999999999999,0.988095238095238,498.0,0.028136211436823,0.0017830599505398,8.531625038183678,1.4503748939977298e-15,0.0117005274510709,0.0187242703861464,13,0,0.9371968404035214,0.0186028911458122,0.3083339888299872,-7764.042377625417,3814050.3709524698,6278995.542278704,4892414.799723161,3806286.328574844,2289765.0885635684,1360575.6255865905,SHIVAMILLS,SHIVA MILLS LIMITED,EQ,2025-08-20,2026-08-27,251,155579.8,2458.0,0.0318725099601593,0.0545631290246595,3,0,0.996031746031746,LOW,FULL,False,True,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
7,INE890C01046,222,222,5872723.72578409,3760224.1156846634,58.727237257840905,37.602241156846624,0.4088784546564001,9.201909120914287,15.960403162788303,-0.3810255966959106,0.5405405405405406,0.0169480287443606,0.0265714285714286,5.02243079617002,0.0506315789473683,-0.052,0.8809523809523809,444.0,0.026816532942402,0.0017998078464139,9.416576762974438,6.408830686256633e-18,0.0134010461453667,0.0204950113433545,11,1,1.3324072053412972,-0.2586453456179782,0.3982257917353545,-31972.789115646345,3792196.904800309,5872723.72578409,4702187.282686358,3760224.1156846634,2392751.0871478235,1508311.3746976117,SANWARIA,SANWARIA CONSUMER LIMITED,BZ,2025-08-20,2026-08-27,230,158455.40999999997,599456.0,0.0,0.0489106470199008,32,0,0.9126984126984128,LOW,PARTIAL,False,True,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
8,INE393A01011,251,251,4784580.273512213,2877619.5288974256,47.84580273512213,28.776195288974257,0.4467969966459355,7.865762954534754,15.111756718037553,-0.1201021994236726,0.6215139442231076,0.0140015906948804,0.0116875072497391,3.798156775859124,0.1231082251082249,-0.0827991513437058,0.996031746031746,502.0,0.0281879489698886,0.00177920756246,7.86956563714304,1.0771102889796785e-13,0.0104974442590539,0.0175057371307068,13,0,0.8106929889958472,0.1062461156496881,0.2126932365604608,-30014.67710371835,2907634.206001144,4784580.273512213,3714180.6088859695,2877619.5288974256,1713368.668798227,1003255.9453677458,DELTAMAGNT,DELTA MANUFACTURING LTD,EQ,2025-08-20,2026-08-27,252,244416.96,3739.0,0.0,0.0590879080368488,0,0,1.0,LOW,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
9,INE0US801024,251,251,4755612.725620461,2859568.4883479327,47.55612725620461,28.59568488347933,0.5896799966358567,6.063326068982311,15.315622610863148,-0.1147613709277474,0.5139442231075697,0.0142447095456557,0.0016997885835092,3.486729369462892,0.1971833030852994,-0.0850223880597015,0.996031746031746,502.0,0.0372097052234239,0.0023486557677944,6.065047820538065,4.8467039134440336e-09,0.009619035784287,0.0188703833070244,13,0,0.8095944099178212,0.0072044601837424,0.2570550031397232,-37714.28571428577,2897282.7740622186,4755612.725620461,3691310.000010049,2859568.4883479327,1702134.8196048397,996273.7161107182,MFML,MAHALAXMI FABRIC MILLS LT,EQ,2025-08-20,2026-08-27,252,106593.71,4513.5,0.0277777777777777,0.0719568514225393,2,0,1.0,LOW,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
10,INE014B01011,244,244,4421890.39903651,2694550.785805844,44.2189039903651,26.94550785805844,0.612400145636826,5.771237532501461,9.581940783407443,-0.1663036891511248,0.5614754098360656,0.0144848635467566,0.0049066443117926,3.205908383602047,0.1603325453112687,-0.1309821289821289,0.9682539682539684,488.0,0.0391220788330061,0.0025045344551334,5.783455490926682,2.240387831001653e-08,0.0095514957045728,0.0194182313889403,11,2,0.9507367597175072,-0.0403238605202387,0.279673869894739,-47367.77271615493,2741918.558521999,4421890.39903651,3455229.35805105,2694550.785805844,1625402.1210953838,964273.753631664,TECILCHEM,TECIL CHEMICALS,EQ,2025-08-20,2026-08-27,248,36146.095,2644.5,0.0443548387096774,0.0803009048617112,23,0,0.984126984126984,LOW,FULL,False,True,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
