pnl_rank,isin,number_of_signals,number_of_trades,gross_pnl,net_pnl,gross_return_pct,net_return_pct,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,average_trade_return,median_trade_return,profit_factor,best_trade,worst_trade,exposure_pct,turnover,trade_std,standard_error,t_stat,p_value,confidence_95_low,confidence_95_high,positive_months,negative_months,best_month,worst_month,monthly_return_std,buy_hold_pnl,excess_pnl,pnl_0bps,pnl_5bps,pnl_10bps,pnl_20bps,pnl_30bps,symbol,company_name,series,first_traded_date,last_traded_date,sessions_available,median_daily_value,median_volume,pct_near_zero_volume,average_daily_range,circuit_like_sessions,corporate_action_observations,coverage_ratio,liquidity_flag,coverage_flag,new_listing_flag,suspension_flag,strategy,parameters,execution_class,evaluation_start,evaluation_end
2,INE185E01021,251,251,12387215.87197677,7526508.393104707,123.87215871976773,75.26508393104707,0.4031047481231159,11.042856906440424,23.32224457778232,-0.2269343962551004,0.549800796812749,0.0177347731148616,0.0165185185185186,7.48657245528597,0.0694285714285714,-0.052,0.996031746031746,502.0,0.0254193114506153,0.0016044527118228,11.053471993395837,2.1849302116196028e-23,0.0145748060766075,0.0208947401531157,13,0,0.90995963051366,0.0803656104239936,0.2313899173795258,-67857.14285714288,7594365.53596185,12387215.87197677,9659965.94222688,7526508.393104707,4553332.940602771,2736475.76347173,FILATFASH,FILATEX FASHIONS LIMITED,EQ,2025-08-20,2026-08-27,252,14146219.52,40314658.5,0.0,0.0654445688970291,16,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
5,INE048C01025,251,251,6700742.064083269,4048896.1452068295,67.00742064083269,40.488961452068295,0.2749988173990849,13.782946250107152,19.76311053952855,-0.0745363659635461,0.8087649402390438,0.0151007725858749,0.0148708111855788,10.773522314939385,0.0913822978340701,-0.0625514236345881,0.996031746031746,502.0,0.0173317194192729,0.0010939684293506,13.80366396390272,1.3381173488005227e-32,0.0129462035218162,0.0172553416499337,13,0,0.7240018794497272,0.0465127319230005,0.1693421293240114,6816.94731124393,4042079.1978955856,6700742.064083269,5212479.53588775,4048896.1452068295,2428630.0638684207,1439617.4623655477,VHLTD,VICEROY HOTELS LIMITED,BE,2025-08-20,2026-08-27,252,1598499.13,11834.5,0.0,0.0422143596947922,0,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
13,INE00CA01015,251,251,3438807.9529584283,2056041.0437273565,34.38807952958428,20.560410437273564,0.3385340599221027,9.293265845431874,15.844326445109107,-0.0566991215297849,0.7051792828685259,0.0125342112214719,0.0125960290937683,4.635092629508612,0.0833821231179723,-0.0498950800666617,0.996031746031746,502.0,0.0213535986418763,0.0013478271948749,9.299568423261514,7.327942118231385e-18,0.0098796677265574,0.0151887547163864,13,0,0.4470175966712721,0.0438928277002015,0.1243654775901008,-26929.264368936696,2082970.308096293,3438807.9529584283,2662549.9421807984,2056041.0437273565,1212294.1178067245,697953.8586248172,TREJHARA,TREJHARA SOLUTIONS LTD,EQ,2025-08-20,2026-08-27,252,2379641.67,13181.5,0.0,0.0553646579463156,1,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
16,INE224E01028,251,251,3196692.754499285,1908247.8358166085,31.966927544992856,19.082478358166085,0.3372102857455494,9.116518161299972,12.620061349435714,-0.2593948250161366,0.5936254980079682,0.0122477438014998,0.0161818181818182,5.410228467315144,0.1014482758620691,-0.090235294117647,0.996031746031746,502.0,0.0212706494127308,0.0013425914859571,9.122464971367258,2.5117578758933727e-17,0.0096035120268873,0.0148919755761122,13,0,0.7454024896174043,0.0970805875305542,0.1656162688144589,99999.9999999996,1808247.835816609,3196692.754499285,2473362.9856928387,1908247.8358166085,1122165.512879866,643044.687435491,GATECH,GACM TECHNOLOGIES LIMITED,BE,2025-08-20,2026-08-27,252,3479502.9050000003,6575677.0,0.0,0.0497916747278949,7,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
18,INE568Z01015,251,251,2665338.846084807,1583936.9958619955,26.65338846084807,15.839369958619956,0.371865726480274,7.820603294236977,10.98040885640453,-0.203038158535585,0.6852589641434262,0.0115865112570735,0.0121633152649065,3.59757532325707,0.0767761561455953,-0.0571374345549737,0.996031746031746,502.0,0.0234607465791386,0.0014808291933248,7.824340112487246,1.438329997686932e-13,0.0086700205398902,0.0145030019742567,12,1,0.5956055916410603,-0.0977900682688021,0.1886253299583348,-78333.33333333333,1662270.3291953288,2665338.846084807,2058193.30327136,1583936.9958619955,924416.4043912984,522585.091532796,URAVIDEF,URAVI DEFENCE &TECH LTD,BE,2025-08-20,2026-08-27,252,1462833.08,8423.5,0.0,0.0567582653615095,1,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
20,INE505V01016,251,251,2623050.130223859,1558169.298085875,26.23050130223859,15.581692980858756,0.3503993700996819,8.22913075032851,16.37446949508796,-0.0819399809057416,0.7171314741035857,0.0114879770174622,0.008894186171934,4.966594405451832,0.1176082746478874,-0.0658119227539882,0.996031746031746,502.0,0.0221052977857981,0.0013952740241206,8.233491643122036,1.015755005050648e-14,0.0087399870685755,0.014235966966349,13,0,0.4109431407784125,0.0258419905626967,0.1280753439830787,-37894.21813403418,1596063.5162199095,2623050.130223859,2025178.8953656305,1558169.298085875,908730.9089006386,513046.3594422807,EUROBOND,EURO PANEL PRODUCTS LTD,EQ,2025-08-20,2026-08-27,252,1245981.075,7185.5,0.0,0.0510651253642299,0,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
24,INE482J01021,251,251,2260598.642147924,1337108.8896022022,22.605986421479237,13.371088896022025,0.2844433681485346,9.55728380783132,22.61344191269465,-0.0688557848330457,0.7529880478087649,0.0108307011818764,0.0082301790281329,7.30880599873724,0.100102102102102,-0.0292479564032698,0.996031746031746,502.0,0.0179410286748724,0.0011324276885396,9.564143734284071,1.140137840728161e-18,0.0086003866686328,0.0130610156951201,13,0,0.4013424235613618,0.0165668970117052,0.1359676846789741,13855.421686746891,1323253.467915455,2260598.642147924,1742083.0210795784,1337108.8896022022,774037.5119292182,431057.6202060996,SHAH,SHAH METACORP LIMITED,EQ,2025-08-20,2026-08-27,252,10094136.6,2120989.0,0.0,0.0551724187049163,0,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
40,INE748Z01013,251,251,1512993.2956585772,881140.5810510241,15.129932956585773,8.81140581051024,0.4262085996252374,5.589019642663466,10.671200336833133,-0.2928979700251577,0.5936254980079682,0.0094903913752093,0.0081058710298362,2.815993365640784,0.1311983805668015,-0.0752261116367077,0.996031746031746,502.0,0.0268955916076714,0.0016976346890766,5.590361363534102,5.9200477867856224e-08,0.0061469025824581,0.0128338801679605,11,2,0.5631530455435236,-0.136685585252513,0.1933654540885639,-47573.506969172966,928714.0880201972,1512993.2956585772,1158158.5941874615,881140.5810510241,496212.6166003669,261943.3684836336,SUMIT,SUMIT WOODS LIMITED,EQ,2025-08-20,2026-08-27,252,2632031.3,41138.5,0.0,0.0618463902959549,0,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
45,INE933B01012,251,251,1375293.5538557398,797247.9364834097,13.752935538557397,7.972479364834097,0.3831609059927553,5.940629636527384,10.800115247639315,-0.1506651154187485,0.5856573705179283,0.0090685937597579,0.0051942446043165,2.724932312059265,0.048,-0.051989085352543,0.996031746031746,502.0,0.0241783190832596,0.0015261219681666,5.94224704769324,9.388871177522344e-09,0.0060628989952901,0.0120742885242257,12,1,0.5969521441031613,-0.0276397988601009,0.1579770112083988,553194.7652040033,244053.1712794064,1375293.5538557398,1050665.1792471744,797247.9364834097,445151.8938775093,230896.2971533275,SIGMAADV,SIGMA ADVANCED SYSTEM LTD,EQ,2025-08-20,2026-08-27,252,35403082.739999995,169979.5,0.0,0.0486446873247757,16,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
47,INE972X01022,251,251,1362338.1701462332,789408.6461708952,13.623381701462332,7.894086461708952,0.2872115736818201,7.78378639345295,14.6782361413699,-0.0825982616624684,0.5856573705179283,0.0089067471683934,0.007421265141319,3.6443618078107063,0.0724500846023687,-0.0466320868516283,0.996031746031746,502.0,0.018120058444415,0.0011437279473919,7.787470078617283,1.8194636454431914e-13,0.0066541768134949,0.011159317523292,12,1,0.4620067933070937,-0.0001680624487195,0.1295853202758935,-33783.78378378383,823192.429954679,1362338.1701462332,1040586.0954093754,789408.6461708952,440413.3850281695,228035.13307467735,VAISHALI,VAISHALI PHARMA LIMITED,EQ,2025-08-20,2026-08-27,252,1145079.475,137791.0,0.0,0.0554871909304387,0,0,1.0,OK,FULL,False,False,close_to_open,{},LONG_ONLY,2025-08-20,2026-08-27
1,INE131A01031,114,114,118823.39509766689,74421.68211827366,1.1882339509766688,0.7442168211827367,0.3715846550846721,1.676174969151805,2.606151253826965,-0.1387580142296817,0.4473684210526316,0.0054635166471388,-0.0023539300411026,1.6066383245911098,0.1863354551241247,-0.072633491569815,0.4523809523809524,228.0,0.0346491574771938,0.0032451909276399,1.6835732531497645,0.0950248599606843,-0.0009657918811219,0.0118928251753997,9,4,0.1734038343088062,-0.0583947148781065,0.0680812647611174,32628.01028758494,41793.67183068872,118823.39509766689,95376.18715490225,74421.68211827366,38966.66894917114,10668.365637652852,GMDCLTD,GUJARAT MINERAL DEV CORP,EQ,2025-08-20,2026-08-27,252,1628035759.45,2666064.0,0.0,0.0435119646674269,0,0,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
2,INE049B01025,81,81,101084.72590544668,71202.03329809799,1.0108472590544668,0.7120203329809798,0.3589507944289866,1.6695523094782012,2.290955149058571,-0.1671033061320298,0.4938271604938271,0.0073986065163944,-0.0001233243967828,1.809807467013552,0.1803949883543492,-0.0962785023138409,0.3214285714285714,162.0,0.0395799301470125,0.0043977700163347,1.6823541224105978,0.096399667927718,-0.0013532347282028,0.0161504477609917,5,8,0.3345282542158434,-0.0855293655718848,0.145623780931872,31395.660326814686,39806.3729712833,101084.72590544668,85550.17640818903,71202.03329809799,45713.406179720536,23979.620518171447,WOCKPHARMA,WOCKHARDT LIMITED,EQ,2025-08-20,2026-08-27,252,792772649.35,513332.5,0.0,0.0394527376365687,0,0,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
3,INE010J01012,103,103,104342.67278969176,66478.41193970278,1.0434267278969176,0.6647841193970279,0.4032861626054925,1.461492438539657,1.573303944304356,-0.2123581004293804,0.4951456310679611,0.0057223269632582,-5.084745762706615e-05,1.5709709506706906,0.1448088394374902,-0.1522135738016137,0.4087301587301587,206.0,0.0396059184445611,0.0039024871032013,1.4663282188848428,0.1456351386457217,-0.0020182377022831,0.0134628916287996,7,6,0.2347934647060814,-0.0746344978980454,0.0955273478249289,-12906.79843244172,79385.2103721445,104342.67278969176,84450.85174761014,66478.41193970278,35574.833739517926,10362.575217634309,TEJASNET,TEJAS NETWORKS LIMITED,EQ,2025-08-20,2026-08-27,252,591811394.575,1434576.0,0.0,0.0428986346114633,0,0,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
4,INE139A01034,138,138,114153.00870810468,62691.49607490873,1.1415300870810468,0.6269149607490874,0.2871145656256531,1.839210646237044,2.045360648490788,-0.1663139141370231,0.5362318840579711,0.003826551926003,0.0021271335035258,1.5397952856385588,0.0715498839907192,-0.0671109190435033,0.5476190476190477,276.0,0.0243444775346127,0.0020723395489248,1.846488876780974,0.0669791462393458,-0.0002713569805099,0.0079244608325161,6,7,0.2538103184802036,-0.1098513851949483,0.0947819149615356,103491.715017511,-40800.21894260228,114153.00870810468,86669.87983765348,62691.49607490873,23528.50899005166,-6258.85240967045,NATIONALUM,NATIONAL ALUMINIUM CO LTD,EQ,2025-08-20,2026-08-27,252,3043391285.39,9025367.5,0.0,0.0312251668375546,0,0,1.0,OK,FULL,False,False,gap_continuation_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27
