combination_rank,pnl_rank,isin,number_of_signals,number_of_trades,gross_pnl,net_pnl,gross_return_pct,net_return_pct,annualized_volatility,sharpe,sortino,max_drawdown,win_rate,average_trade_return,median_trade_return,profit_factor,best_trade,worst_trade,exposure_pct,turnover,trade_std,standard_error,t_stat,p_value,confidence_95_low,confidence_95_high,positive_months,negative_months,best_month,worst_month,monthly_return_std,buy_hold_pnl,excess_pnl,pnl_0bps,pnl_5bps,pnl_10bps,pnl_20bps,pnl_30bps,symbol,company_name,series,first_traded_date,last_traded_date,sessions_available,median_daily_value,median_volume,pct_near_zero_volume,average_daily_range,circuit_like_sessions,corporate_action_observations,coverage_ratio,liquidity_flag,coverage_flag,new_listing_flag,suspension_flag,strategy,parameters,execution_class,evaluation_start,evaluation_end,score_net_pnl,score_sharpe,score_pnl_30bps,score_max_drawdown,score_excess_pnl,combination_score,positive_pillars,evidence_tier,sample_tier,profit_rank,comparable_rank
1,29,INE965H01011,174,174,7057863.589570956,4994940.387616356,70.57863589570957,49.94940387616356,0.3226321251156128,12.435543381064615,,-0.0178566699880264,0.6896551724137931,0.0230580792413808,0.0239784075573549,38.149127666669166,0.0694285714285714,-0.002,0.6904761904761905,348.0,0.0208273843303212,0.0015789199313682,14.603703951852363,5.42470991105763e-32,0.0199416523376133,0.0261745061451484,13,0,0.6876990754170835,0.0676696345497815,0.1798455661557575,-47058.82352941178,5041999.211145768,7057863.589570956,5939449.242129728,4994940.387616356,3524145.658068826,2476213.748662591,SITINET,SITI NETWORKS LIMITED,BZ,2025-08-20,2026-08-27,252,175786.905,455920.0,0.0,0.0422387013165579,13,0,1.0,LOW,FULL,False,False,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.83611312545322,99.99564902102973,99.83611312545322,95.34590282813633,99.83901377810007,99.19506889050035,5,ROBUST POSITIVE,LOW LIQUIDITY,57,
2,27,INE965H01011,174,174,7057863.589570956,4994940.387616356,70.57863589570957,49.94940387616356,0.3226321251156128,12.435543381064615,,-0.0178566699880264,0.6896551724137931,0.0230580792413808,0.0239784075573549,38.149127666669166,0.0694285714285714,-0.002,0.6904761904761905,348.0,0.0208273843303212,0.0015789199313682,14.603703951852363,5.42470991105763e-32,0.0199416523376133,0.0261745061451484,13,0,0.6876990754170835,0.0676696345497815,0.1798455661557575,-47058.82352941178,5041999.211145768,7057863.589570956,5939449.242129728,4994940.387616356,3524145.658068826,2476213.748662591,SITINET,SITI NETWORKS LIMITED,BZ,2025-08-20,2026-08-27,252,175786.905,455920.0,0.0,0.0422387013165579,13,0,1.0,LOW,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.83611312545322,99.99564902102973,99.83611312545322,95.34590282813633,99.83901377810007,99.19506889050035,5,ROBUST POSITIVE,LOW LIQUIDITY,57,
3,21,INE106I01010,154,154,7740829.685682983,5709899.1715857405,77.40829685682984,57.09899171585741,0.379160171189453,10.983596623702358,24.075390193840114,-0.0351491712707182,0.8376623376623377,0.0270424829618109,0.0244029278494248,17.22326393822341,0.0889090909090908,-0.0351491712707182,0.6111111111111112,308.0,0.0254881045656535,0.0020538899968483,13.166470942117966,5.960919774795916e-27,0.0229848377759691,0.0311001281476527,13,0,0.5729206485860283,0.1562460466373929,0.108440933139136,-4761.904761904705,5714661.076347645,7740829.685682983,6649894.844910392,5709899.1715857405,4202502.009636548,3084333.056881182,ANKITMETAL,ANKIT MET & POW LTD,BZ,2025-08-20,2026-08-27,252,36059.705,21027.0,0.0,0.0565145449198417,2,0,1.0,LOW,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.8665699782451,99.96519216823785,99.87527193618564,93.34300217548949,99.8665699782451,98.90949963741842,5,ROBUST POSITIVE,LOW LIQUIDITY,47,
4,90,INE623B01027,174,174,2985914.1643684986,2092954.758364808,29.859141643684985,20.92954758364808,0.2761199052296959,11.386198571113248,,-0.023737752105285,0.6206896551724138,0.018068713048174,0.0197391304347825,24.81784901804764,0.0568235294117644,-0.002,0.6904761904761905,348.0,0.0183662892195773,0.0013923447925165,12.977182911364816,2.4895737097975884e-27,0.0153205428056468,0.0208168832907013,12,1,0.5514871242673178,-0.0059880079999999,0.1766234030560855,-30357.14285714296,2123311.9012219505,2985914.1643684986,2501615.880250172,2092954.758364808,1457340.5275996772,1005209.0465584252,FEL,FUTURE ENTERPRISES LTD,BZ,2025-08-20,2026-08-27,252,69747.545,157561.0,0.0,0.0307855285722524,35,0,1.0,LOW,FULL,False,False,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.45322697606962,99.97534445250182,99.43002175489485,94.72226250906454,99.45322697606962,98.84336475707035,5,ROBUST POSITIVE,LOW LIQUIDITY,189,
5,88,INE623B01027,174,174,2985914.1643684986,2092954.758364808,29.859141643684985,20.92954758364808,0.2761199052296959,11.386198571113248,,-0.023737752105285,0.6206896551724138,0.018068713048174,0.0197391304347825,24.81784901804764,0.0568235294117644,-0.002,0.6904761904761905,348.0,0.0183662892195773,0.0013923447925165,12.977182911364816,2.4895737097975884e-27,0.0153205428056468,0.0208168832907013,12,1,0.5514871242673178,-0.0059880079999999,0.1766234030560855,-30357.14285714296,2123311.9012219505,2985914.1643684986,2501615.880250172,2092954.758364808,1457340.5275996772,1005209.0465584252,FEL,FUTURE ENTERPRISES LTD,BZ,2025-08-20,2026-08-27,252,69747.545,157561.0,0.0,0.0307855285722524,35,0,1.0,LOW,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.45322697606962,99.97534445250182,99.43002175489485,94.72226250906454,99.45322697606962,98.84336475707035,5,ROBUST POSITIVE,LOW LIQUIDITY,189,
6,33,INE060B01014,149,149,5610116.636874368,4170874.815868268,56.10116636874368,41.70874815868268,0.4217962805356973,9.166841811741229,23.23729250257074,-0.03975938481148,0.825503355704698,0.0259499314124265,0.02290525175961,14.960027445098149,0.1962039769082745,-0.0384817591204398,0.5912698412698413,298.0,0.0303354635876443,0.0024851780094741,10.441880345592498,1.814058978452268e-19,0.0210389152472963,0.0308609475775568,13,0,1.2148287521533985,0.0325773744855968,0.305030592590587,-30172.760144636355,4201047.576012904,5610116.636874368,4838688.848712222,4170874.815868268,3092582.924799393,2285173.891571057,KHANDSE,KHANDWALA SECURITIES LTD,EQ,2025-08-20,2026-08-27,252,63992.49,3285.5,0.0079365079365079,0.0624727943315467,1,0,1.0,LOW,FULL,False,False,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.79695431472081,99.82596084118927,99.81145757795504,92.73096446700507,99.79985496736766,98.74633792603335,5,ROBUST POSITIVE,LOW LIQUIDITY,71,
7,30,INE060B01014,173,173,6731171.099255279,4771368.029260767,67.31171099255279,47.71368029260767,0.4301118792333414,9.308526746099693,23.93860663704137,-0.0419870504697358,0.7976878612716763,0.0231428204142124,0.022131842260153,10.379118051526008,0.1962039769082745,-0.0384817591204398,0.6865079365079365,346.0,0.0300401720523314,0.0022839119883907,10.132973832550894,3.2347465185906187e-19,0.0186347157810041,0.0276509250474208,13,0,1.16313140786533,0.0325773744855968,0.2902868641815385,-30172.760144636355,4801540.789405403,6731171.099255279,5669111.808186307,4771368.029260767,3371514.0571954544,2372281.915232722,KHANDSE,KHANDWALA SECURITIES LTD,EQ,2025-08-20,2026-08-27,252,63992.49,3285.5,0.0079365079365079,0.0624727943315467,1,0,1.0,LOW,FULL,False,False,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.83176214648296,99.84916606236403,99.82596084118927,92.40609137055837,99.83176214648296,98.72023205221174,5,ROBUST POSITIVE,LOW LIQUIDITY,59,
8,24,INE472M01018,173,173,8324626.640025934,5910028.053520927,83.24626640025934,59.10028053520927,0.449127304673095,9.411197603057644,24.583888910722703,-0.047304490566038,0.7052023121387283,0.0244325191514865,0.0226305418719212,8.522053172551695,0.0974152046783625,-0.0344074074074075,0.6865079365079365,346.0,0.0313030874578146,0.002379929668645,10.266067721823152,1.3773774267887601e-19,0.0197348898117987,0.0291301484911743,13,0,0.9892277545665772,0.0977269903318349,0.2737607145396492,-20095.69377990425,5930123.747300832,8324626.640025934,7016220.655945023,5910028.053520927,4184648.2551050326,2952569.50789744,MTEDUCARE,MT EDUCARE LTD,BE,2025-08-20,2026-08-27,252,38695.335,22003.0,0.0039682539682539,0.0690727890839615,1,0,1.0,LOW,FULL,False,False,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.86947063089195,99.85786802030456,99.8665699782451,91.62871646120378,99.86947063089195,98.63045685279188,5,ROBUST POSITIVE,LOW LIQUIDITY,46,
9,25,INE890C01046,140,140,7373267.892176568,5594332.652381594,73.73267892176568,55.94332652381594,0.3980856697744562,10.427029930461874,47.88280393070103,-0.0486083049483389,0.6714285714285714,0.0296489370973301,0.035037037037037,33.16790534670146,0.0932380952380952,-0.0390370370370369,0.5555555555555556,280.0,0.0272407741349032,0.0023022656162211,12.878156581252384,1.7994383453065567e-25,0.0250969488051102,0.0342009253895499,11,1,1.2265400132383193,-0.044601658500339,0.4089959860538505,-31972.789115646345,5626305.44149724,7373267.892176568,6423871.091094438,5594332.652381594,4236558.827308892,3200782.262551771,SANWARIA,SANWARIA CONSUMER LIMITED,BZ,2025-08-20,2026-08-27,230,158455.40999999997,599456.0,0.0,0.0489106470199008,32,0,0.9126984126984128,LOW,PARTIAL,False,True,gap_fade_050,"{""gap_threshold"":0.005}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.85641769398114,99.94343727338652,99.8796229151559,91.43582306018854,99.85931834662799,98.61595358955766,5,ROBUST POSITIVE,LIMITED SAMPLE,50,
10,24,INE890C01046,140,140,7373267.892176568,5594332.652381594,73.73267892176568,55.94332652381594,0.3980856697744562,10.427029930461874,47.88280393070103,-0.0486083049483389,0.6714285714285714,0.0296489370973301,0.035037037037037,33.16790534670146,0.0932380952380952,-0.0390370370370369,0.5555555555555556,280.0,0.0272407741349032,0.0023022656162211,12.878156581252384,1.7994383453065567e-25,0.0250969488051102,0.0342009253895499,11,1,1.2265400132383193,-0.044601658500339,0.4089959860538505,-31972.789115646345,5626305.44149724,7373267.892176568,6423871.091094438,5594332.652381594,4236558.827308892,3200782.262551771,SANWARIA,SANWARIA CONSUMER LIMITED,BZ,2025-08-20,2026-08-27,230,158455.40999999997,599456.0,0.0,0.0489106470199008,32,0,0.9126984126984128,LOW,PARTIAL,False,True,gap_fade_100,"{""gap_threshold"":0.01}",INTRADAY_SHORT_ALLOWED_RESEARCH,2025-08-20,2026-08-27,99.85641769398114,99.94343727338652,99.8796229151559,91.43582306018854,99.85931834662799,98.61595358955766,5,ROBUST POSITIVE,LIMITED SAMPLE,50,
