date,symbol,isin,series,close
2026-09-04,20MICRONS,INE144J01027,EQ,222.49
2026-09-04,21STCENMGM,INE253B01015,EQ,38.13
2026-09-04,360ONE,INE466L01038,EQ,1137.0
2026-09-04,3BBLACKBIO,INE994E01018,EQ,1460.1
2026-09-04,3IINFOLTD,INE748C01038,BE,22.37
2026-09-04,3MINDIA,INE470A01017,EQ,32845.0
2026-09-04,3PLAND,INE105C01023,EQ,32.39
2026-09-04,5PAISA,INE618L01018,EQ,342.1
2026-09-04,63MOONS,INE111B01023,EQ,876.5
2026-09-04,ABCOTS,INE08PH01015,EQ,208.15
2026-09-04,ABINFRA,INE00YB01025,BE,11.35
2026-09-04,ABMKNO,INE850B01026,EQ,189.9
2026-09-04,ACSTECH,INE366C01021,BE,51.83
2026-09-04,AKCAPIT,INE701G01012,EQ,1736.9
2026-09-04,A2ZINFRA,INE619I01012,EQ,15.61
2026-09-04,AAATECH,INE0D0U01013,EQ,91.74
2026-09-04,AADHARHFC,INE883F01010,EQ,483.55
2026-09-04,AAKASH,INE087Z01024,EQ,8.75
2026-09-04,AAREYDRUGS,INE198H01019,EQ,95.79
2026-09-04,AARNAV,INE750R01016,BE,32.17
2026-09-04,AARON,INE721Z01010,EQ,128.45
2026-09-04,AARTECH,INE01C001026,BE,48.64
2026-09-04,AARTIDRUGS,INE767A01016,EQ,431.65
2026-09-04,AARTIIND,INE769A01020,EQ,492.05
2026-09-04,AARTIPHARM,INE0LRU01027,EQ,858.8
2026-09-04,AARTISURF,INE09EO01013,BE,548.5
2026-09-04,AARVI,INE754X01016,EQ,141.92
2026-09-04,AASTHA,INE2FMX01012,EQ,78.12
2026-09-04,AAVAS,INE216P01012,EQ,1304.2
2026-09-04,ABAN,INE421A01028,BE,14.99
2026-09-04,ABANSENT,INE365O01028,EQ,27.86
2026-09-04,AFSL,INE00ZE01026,EQ,202.07
2026-09-04,ABB,INE117A01022,EQ,7410.0
2026-09-04,ABBOTINDIA,INE358A01014,EQ,26065.0
2026-09-04,ABMINTLLTD,INE251C01025,BE,55.86
