eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
1,,MCCHRLS-B,MCCHRLS-B,MAC CHARLES (INDIA) LTD.,INE435D01014,gap_fade_050,99.19837630143778,True,False,EQ,670.0,False,,1000.0,500.0,0,,,5.0,0.05,61101.175,20.0,79,79,67,0,0,0,,Not listed in dated Zerodha MIS table | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,1021388.9797901988,1121388.9797901988,724799.6860886815,7.263136950850075,-0.01946376811594197,-0.0194637681159419,1020797.2638138676,0.0250842858115833,0.3611111111111111,True,False
2,,MCCHRLS-B,MCCHRLS-B,MAC CHARLES (INDIA) LTD.,INE435D01014,gap_fade_100,99.19403817550818,True,False,EQ,670.0,False,,1000.0,500.0,0,,,5.0,0.05,61101.175,20.0,74,74,63,0,0,0,,Not listed in dated Zerodha MIS table | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,1010908.8477133884,1110908.8477133885,733600.1309594085,7.23721671635647,-0.01946376811594197,-0.0194637681159418,1010317.1317370572,0.0269099830245391,0.3611111111111111,True,False
3,,KHANDSE,KHANDSE,KHANDWALA SECURITIES LTD,INE060B01014,gap_fade_100,98.99417451660882,True,False,EQ,18.38,False,,1000.0,500.0,27,,,5.0,0.01,25115.455,20.0,149,149,116,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,4170874.815868268,4270874.815868268,2285173.891571057,9.166841811741229,-0.03975938481148,-0.03975938481148,4201047.576012904,0.0210389152472963,1.0,True,False
4,,KHANDSE,KHANDSE,KHANDWALA SECURITIES LTD,INE060B01014,gap_fade_050,98.93757230209883,True,False,EQ,18.38,False,,1000.0,500.0,27,,,5.0,0.01,25115.455,20.0,173,173,125,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,4771368.029260767,4871368.029260767,2372281.915232722,9.308526746099693,-0.04198705046973583,-0.0419870504697358,4801540.789405403,0.0186347157810041,1.0,True,False
5,,21STCENMGM,21STCENMGM,21ST CENTURY MGMT SERVICE,INE253B01015,gap_fade_100,98.7466947611965,True,False,EQ,38.13,False,,1000.0,500.0,13,,,5.0,0.01,276734.945,20.0,166,166,118,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,469175.3825609151,569175.3825609151,194634.78905495035,8.64897465650373,-0.024397583180235216,-0.0243975831802352,495426.4800148221,0.0084002747310933,1.0,True,False
6,,PASHUPATI,,PASHUPATI COTSPIN LIMITED,INE124Y01010,gap_fade_050,98.72293835729631,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,122,122,107,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,372258.645712352,472258.645712352,191397.55072802363,7.920448772196929,-0.015588109816109919,-0.0155881098161098,326061.68814629887,0.0101485789152329,0.6349206349206349,True,False
7,,TOUCHWOOD,TOUCHWOOD,TOUCHWOOD ENTERTAIN LTD.,INE486Y01013,gap_fade_100,98.71343579573626,True,False,EQ,62.81,False,,1000.0,500.0,7,,,5.0,0.01,93208.98999999999,20.0,135,135,92,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,2826794.416124681,2926794.416124681,1626334.054550744,8.682408691074293,-0.04882230869001292,-0.0488223086900129,2863457.275640827,0.020694901619541,1.0,True,False
8,,PALASHSECU,PALASHSECU,PALASH SECURITIES LTD,INE471W01019,gap_fade_100,98.69091885638737,True,False,EQ,90.17,False,,1000.0,500.0,5,,,5.0,0.01,123267.93,20.0,130,130,95,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,1033654.668965402,1133654.668965402,579726.1570649099,8.20485697742117,-0.04204948650891882,-0.0420494865089188,1060064.5050309757,0.0151160187396007,1.0,True,False
9,,EUROBOND,EUROBOND,EURO PANEL PRODUCTS LTD,INE505V01016,gap_fade_100,98.67356635266897,True,False,EQ,151.0,False,,1000.0,500.0,3,2.0,3.993999999999982,5.0,0.01,1186049.43,20.0,155,155,132,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen,100000.0,2739364.4105823794,2839364.4105823794,1445613.837797918,9.08549438121651,-0.05015022421524673,-0.0501502242152467,2777258.6287164134,0.0178739605297696,1.0,True,False
10,,21STCENMGM,21STCENMGM,21ST CENTURY MGMT SERVICE,INE253B01015,gap_fade_050,98.6648901008098,True,False,EQ,38.13,False,,1000.0,500.0,13,,,5.0,0.01,276734.945,20.0,177,177,124,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | Fails 20-session INR 50 crore liquidity screen,100000.0,461875.6157257381,561875.6157257381,178295.8542554996,8.393397535870093,-0.027003164741861152,-0.027003164741861,488126.713179645,0.0077181416963587,1.0,True,False
