eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
287,1,BANDHANBNK,BANDHANBNK,BANDHAN BANK LIMITED,INE545U01014,gap_continuation_100,95.64514129895886,True,True,EQ,164.95,True,20.0,1000.0,500.0,3,2.0,4.32980000000003,5.0,0.01,845147095.665,20.0,37,37,19,0,0,0,,,100000.0,60712.21033395961,160712.2103339596,38819.55143809313,3.079344272468176,-0.034560869253138504,-0.0345608692531386,63189.07947941097,0.005413240790014,1.0,True,False
391,2,POWERGRID,POWERGRID,POWER GRID CORP. LTD.,INE752E01010,gap_fade_050,94.89340604858701,True,True,EQ,266.0,True,20.0,1000.0,500.0,1,1.0,3.5119999999999774,5.0,0.05,2045111029.025,20.0,79,79,47,0,0,0,,,100000.0,59007.186395520985,159007.18639552098,16062.838173507174,3.1327351440779823,-0.050497622698489786,-0.0504976226984897,67028.01972885433,0.0023453153089155,1.0,True,False
512,3,POWERGRID,POWERGRID,POWER GRID CORP. LTD.,INE752E01010,gap_fade_100,94.2693356470005,True,True,EQ,266.0,True,20.0,1000.0,500.0,1,1.0,3.5119999999999774,5.0,0.05,2045111029.025,20.0,36,36,20,0,0,0,,,100000.0,39771.32489659844,139771.32489659844,21150.35892337351,2.7270626475285877,-0.03907044106831303,-0.039070441068313,47792.15822993178,0.0030158842448597,1.0,True,False
649,4,BANDHANBNK,BANDHANBNK,BANDHAN BANK LIMITED,INE545U01014,gap_continuation_050,93.4285655263593,True,True,EQ,164.95,True,20.0,1000.0,500.0,3,2.0,4.32980000000003,5.0,0.01,845147095.665,20.0,85,85,36,0,0,0,,,100000.0,53857.73642421287,153857.73642421287,9618.15445964942,2.317934522827607,-0.06651971478495267,-0.0665197147849526,56334.60556966423,0.0008304346823733,1.0,True,False
1249,5,TATAPOWER,TATAPOWER,TATA POWER CO LTD,INE245A01021,gap_fade_100,90.18240786646835,True,True,EQ,368.0,True,20.0,1000.0,500.0,1,1.0,4.845999999999977,5.0,0.05,1580684879.8,20.0,21,21,10,0,0,0,,,100000.0,16235.707487768726,116235.70748776873,6915.847429781934,1.844620535771762,-0.022044543429844077,-0.022044543429844,25782.1548730958,-0.0004892885124247,1.0,True,False
1315,6,TATAPOWER,TATAPOWER,TATA POWER CO LTD,INE245A01021,gap_fade_050,89.7682201289043,True,True,EQ,368.0,True,20.0,1000.0,500.0,1,1.0,4.845999999999977,5.0,0.05,1580684879.8,20.0,51,51,25,0,0,0,,,100000.0,21143.477561365944,121143.47756136594,-1178.534137247494,1.8807677611336224,-0.029953488996423583,-0.0299534889964235,30689.92494669302,-0.0001783906432657,1.0,True,False
1383,7,NTPC,NTPC,NTPC LTD,INE733E01010,gap_fade_100,89.40361097339283,True,True,EQ,332.5,True,20.0,1000.0,500.0,1,1.0,4.3750000000000115,5.0,0.05,2596856663.35,20.0,20,20,11,0,0,0,,,100000.0,16198.641706137409,116198.64170613741,7311.112776662849,2.0100260788452773,-0.0153513149022253,-0.0153513149022253,17437.262807465697,0.0002942447793693,1.0,True,False
1647,8,HAPPSTMNDS,HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD,INE419U01012,reversal_5d,88.1629069575277,True,True,EQ,354.0,True,20.0,1000.0,500.0,1,1.0,4.638,5.0,0.05,753218049.925,20.0,61,61,20,0,0,0,,,100000.0,32226.9654960903,132226.9654960903,3653.3914269026423,1.3078448008119132,-0.1437017407406571,-0.1437017407406571,60883.2765053424,-0.0026158075326278,1.0,True,False
1668,9,ONGC,ONGC,OIL AND NATURAL GAS CORP.,INE213A01029,gap_fade_100,88.04846306395638,True,True,EQ,234.65,True,20.0,1000.0,500.0,2,1.0,3.1093000000000033,5.0,0.01,2775082213.085,20.0,25,25,18,0,0,0,,,100000.0,17687.1125063659,117687.1125063659,6533.695681313373,1.6042374189556423,-0.06768138842224458,-0.0676813884222445,20183.540177207426,-0.0016694402208052,1.0,True,False
1790,10,BPCL,BPCL,BHARAT PETROLEUM CORP  LT,INE029A01011,momentum_5d,87.42687159147249,True,True,EQ,315.7,True,20.0,1000.0,500.0,1,1.0,4.151400000000034,5.0,0.05,1504042323.325,20.0,44,44,20,0,0,0,,,100000.0,19421.49068713322,119421.49068713322,182.26897762507724,1.5639846856221775,-0.06201545284497534,-0.0620154528449752,20494.75246968119,-0.0011377756796419,1.0,True,False
1909,11,SWIGGY,SWIGGY,SWIGGY LIMITED,INE00H001014,gap_fade_100,86.90402412824326,True,True,EQ,276.1,True,20.0,1000.0,500.0,1,1.0,3.6422,5.0,0.05,3023414109.25,20.0,43,43,26,0,0,0,,,100000.0,20270.148522302872,120270.14852230287,1297.6786510121165,1.0522283462487532,-0.12303082592072845,-0.1230308259207284,50780.27788525146,-0.0043227857535491,1.0,True,False
1972,12,BANKINDIA,BANKINDIA,BANK OF INDIA,INE084A01016,gap_continuation_050,86.60737894562882,True,True,EQ,145.0,True,20.0,1000.0,500.0,3,2.0,3.8299999999999774,5.0,0.01,754397260.855,20.0,77,77,28,0,0,0,,,100000.0,33167.828535434324,133167.82853543432,-2085.153243169145,1.9998770519460856,-0.05696490863248771,-0.0569649086324876,9037.00185503268,6.89661293091638e-05,1.0,True,False
1987,13,RAIN,RAIN,RAIN INDUSTRIES LIMITED,INE855B01025,gap_continuation_100,86.54747149231534,True,True,EQ,215.72,True,20.0,1000.0,500.0,2,1.0,2.8614400000000058,5.0,0.01,785659370.01,20.0,42,42,16,0,0,0,,,100000.0,32833.84269354172,132833.84269354172,12374.383349253229,1.6204974494436637,-0.099149141742225,-0.099149141742225,8478.395185384841,-0.0016149713895488,1.0,True,False
2034,14,AWL,AWL,AWL AGRI BUSINESS LIMITED,INE699H01024,gap_fade_100,86.26508015204098,True,True,EQ,187.29,True,20.0,1000.0,500.0,2,2.0,4.949160000000009,5.0,0.01,561855120.3199999,20.0,43,43,26,0,0,0,,,100000.0,24866.417820667837,124866.41782066783,5185.778272617972,1.353018175308371,-0.17771452952903688,-0.1777145295290368,47910.14735255005,-0.0026487811848892,1.0,True,False
2118,15,BANKBARODA,BANKBARODA,BANK OF BARODA,INE028A01039,gap_continuation_100,85.88539084448851,True,True,EQ,239.0,True,20.0,1000.0,500.0,2,1.0,3.1679999999999864,5.0,0.01,1806686690.8600001,20.0,34,34,18,0,0,0,,,100000.0,14010.072587701305,114010.0725877013,-463.73080201263656,1.403027861126042,-0.05818219944927616,-0.0581821994492761,16458.969572117436,-0.0017232887738977,1.0,True,False
2201,16,PPLPHARMA,PPLPHARMA,PIRAMAL PHARMA LIMITED,INE0DK501011,gap_fade_100,85.52408692778053,True,True,EQ,214.22,True,20.0,1000.0,500.0,2,1.0,2.848440000000015,5.0,0.01,639401063.4000001,20.0,31,31,14,0,0,0,,,100000.0,21690.188749000867,121690.18874900087,7554.183446549927,1.8757936820961405,-0.11652408263133018,-0.11652408263133,11011.027016855282,-0.0003123610134818,1.0,True,False
2239,17,CUB,CUB,CITY UNION BANK LTD,INE491A01021,gap_fade_100,85.34705007436787,True,True,EQ,236.01,True,20.0,1000.0,500.0,2,1.0,3.1320200000000136,5.0,0.01,520786236.12,20.0,34,34,19,0,0,0,,,100000.0,21961.321487865687,121961.32148786569,6502.810359946336,1.252741364236419,-0.1089354423096095,-0.1089354423096096,14022.34705644878,-0.0038305651392255,1.0,True,False
2433,18,PATANJALI,PATANJALI,PATANJALI FOODS LIMITED,INE619A01035,gap_fade_100,84.43976202280615,True,True,EQ,342.5,True,20.0,1000.0,500.0,1,1.0,4.5149999999999775,5.0,0.05,720843981.5999999,20.0,22,22,17,0,0,0,,,100000.0,4845.014292326683,104845.01429232668,-3986.505239291888,0.7845558282823948,-0.051805439798504826,-0.0518054397985048,46300.38034400395,-0.0037476574390843,1.0,True,False
2473,19,AWL,AWL,AWL AGRI BUSINESS LIMITED,INE699H01024,gap_fade_050,84.28524210874235,True,True,EQ,187.29,True,20.0,1000.0,500.0,2,2.0,4.949160000000009,5.0,0.01,561855120.3199999,20.0,84,84,55,0,0,0,,,100000.0,32313.429638507776,132313.42963850778,-5410.844905416816,1.5051378854896742,-0.19727925356647025,-0.1972792535664701,55357.15917038999,-0.0011242651666472,1.0,True,False
2557,20,IOC,IOC,INDIAN OIL CORP LTD,INE242A01010,momentum_5d,83.93798545694926,True,True,EQ,137.6,True,20.0,1000.0,500.0,3,2.0,3.6304000000000087,5.0,0.01,1088369458.555,20.0,46,46,21,0,0,0,,,100000.0,12349.85320638548,112349.85320638548,-6524.798987308663,1.2047757546948832,-0.045810392791458376,-0.0458103927914583,15476.39359086522,-0.0017561724749509,1.0,True,False
2668,21,SAMMAANCAP,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,INE148I01020,gap_continuation_100,83.42753263923319,True,True,EQ,158.39,True,20.0,1000.0,500.0,3,2.0,4.163560000000025,5.0,0.01,963280553.225,20.0,34,34,9,0,0,0,,,100000.0,26820.1366232492,126820.1366232492,10761.83107556998,1.3627577536578055,-0.15065909430112712,-0.1506590943011272,7497.169341098343,-0.0035695284104302,1.0,True,False
2790,22,NTPC,NTPC,NTPC LTD,INE733E01010,gap_fade_050,82.97719385225582,True,True,EQ,332.5,True,20.0,1000.0,500.0,1,1.0,4.3750000000000115,5.0,0.05,2596856663.35,20.0,57,57,29,0,0,0,,,100000.0,13154.228782987862,113154.22878298786,-9913.61512821776,1.2326341841108162,-0.04840064172804259,-0.0415990722147182,14392.84988431615,-0.0014019448284374,1.0,True,False
