eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
1,,REIAGROLTD,,REIAGROLTD,INE385B01031,gap_fade_050,98.77170793403708,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,104,104,70,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,53071818.57842647,53171818.57842647,35787180.68107134,2.255686676458405,-0.011940159760192248,-0.0119401597601922,53126364.03297192,0.0509816181047925,0.0952188006482982,True,False
2,,REIAGROLTD,,REIAGROLTD,INE385B01031,gap_fade_100,98.77170793403708,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,104,104,70,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,53071818.57842647,53171818.57842647,35787180.68107134,2.255686676458405,-0.011940159760192248,-0.0119401597601922,53126364.03297192,0.0509816181047925,0.0952188006482982,True,False
3,,ICRA,ICRA,ICRA LIMITED,INE725G01011,gap_fade_100,97.47579899790827,True,False,EQ,4884.5,True,20.0,1000.0,500.0,0,,,5.0,0.05,153791033.45,20.0,600,600,385,0,0,0,,One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen,100000.0,29307150.72561417,29407150.72561417,2614648.322294604,3.4362133054586885,-0.0967856351415669,-0.0967856351415669,29285230.27350564,0.0080807851073761,1.0,True,False
4,,GREENLAM,,GREENLAM,INE544R01013,gap_fade_100,97.43323442136497,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,666,666,435,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,1445026669.3627386,1445126669.3627386,103844059.09215093,4.1024352097058685,-0.1347857142857144,-0.1347857142857143,1444867197.9341671,0.0127907285660959,0.546191247974068,True,False
5,,ICRA,ICRA,ICRA LIMITED,INE725G01011,gap_fade_050,97.43031570754488,True,False,EQ,4884.5,True,20.0,1000.0,500.0,0,,,5.0,0.05,153791033.45,20.0,1255,1255,734,0,0,0,,One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen,100000.0,307036849.189798,307136849.189798,1972060.005726838,3.9427948794676206,-0.12210325911584374,-0.1221032591158437,307014928.73768944,0.0055695262504936,1.0,True,False
6,,EUROBOND,EUROBOND,EURO PANEL PRODUCTS LTD,INE505V01016,gap_fade_100,97.28510969499442,True,False,EQ,151.0,False,,1000.0,500.0,3,2.0,3.993999999999982,5.0,0.01,1186049.43,20.0,165,165,141,0,0,0,,Not listed in dated Zerodha MIS table | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,3399662.47334046,3499662.47334046,1731700.0358547268,2.635381466767798,-0.05015022421524673,-0.0501502242152467,3425626.835979974,0.0179663890299122,0.1069692058346839,True,False
7,,PDSL,,PDSL,INE111Q01013,gap_fade_100,97.24181543999612,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,601,601,494,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,446304627.2214938,446404627.2214938,41374793.54593293,3.7828046144050167,-0.1410042823227281,-0.1410042823227281,445380169.6297016,0.0122639511714071,0.5996758508914101,True,False
8,,KKCL,KKCL,KEWAL KIRAN CLOTHING LTD,INE401H01017,gap_fade_100,97.22527606168217,True,False,EQ,514.3,True,20.0,1000.0,500.0,0,,,5.0,0.05,14123555.95,20.0,772,772,561,0,0,0,,One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen,100000.0,277461839.30835295,277561839.30835295,12871032.742271172,3.768973314681045,-0.13910192598756244,-0.1391019259875624,277422836.3300701,0.0089402125477015,0.9995948136142626,True,False
9,,STEELCAS,,STEELCAST LIMITED,INE124E01020,gap_fade_050,97.17273921292019,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,615,615,445,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,87070738.50400229,87170738.50400229,7506159.570947129,2.9269284053444835,-0.1279257108056746,-0.1279257108056746,86805936.63920042,0.0091576975699168,0.3772285251215559,True,False
10,,GREENLAM,,GREENLAM,INE544R01013,gap_fade_050,97.16495597606655,True,False,,,False,,1000.0,500.0,0,,,5.0,,,,920,920,570,0,0,0,,Not listed in dated Zerodha MIS table | Below INR 100 pilot price floor or missing price | One share exceeds INR 500 cash cap | Fails 20-session INR 50 crore liquidity screen | Historical coverage below 95% or fewer than 20 trades,100000.0,4845936490.038782,4846036490.038782,126417510.69490272,4.22757218325892,-0.15529214077453224,-0.1552921407745321,4845777018.61021,0.0104435933595348,0.546191247974068,True,False
