eq_rank,worklist_rank,symbol,current_symbol,company_name,isin,strategy,research_score,eq_screen_pass,worklist_pass,current_series,snapshot_price,broker_listed,mis_margin_percent,budget,notional_cap,cash_cap_shares,illustrative_risk_shares,illustrative_planned_loss,risk_budget,tick_size,recent_median_value,recent_sessions,number_of_trades,audited_trades,short_trades,restricted_trades,unknown_series_trades,non_eq_trades,screen_reasons,worklist_reasons,historical_initial_investment,net_pnl,historical_ending_value,pnl_30bps,sharpe,max_drawdown,original_max_drawdown,excess_pnl,confidence_95_low,coverage_ratio,intraday,execution_validated
266,1,EPL,EPL,EPL LIMITED,INE255A01020,gap_fade_100,94.22362212385076,True,True,EQ,247.1,True,20.0,1000.0,500.0,2,1.0,3.254200000000017,5.0,0.05,640014168.835,20.0,639,639,444,0,0,0,,,100000.0,12664298.59075768,12764298.59075768,904048.3960293666,2.3585087157667504,-0.25968832171374734,-0.2596883217137474,12532198.888875645,0.0059127581370732,1.0,True,False
547,2,NTPC,NTPC,NTPC LTD,INE733E01010,gap_fade_100,92.7178090188257,True,True,EQ,332.5,True,20.0,1000.0,500.0,1,1.0,4.3750000000000115,5.0,0.05,2596856663.35,20.0,278,278,169,0,0,0,,,100000.0,349455.1152884652,449455.1152884652,48349.942809526925,1.358749367129711,-0.11901546517293016,-0.1190154651729302,242059.31459902655,0.0031061870329095,1.0,True,False
691,3,EPL,EPL,EPL LIMITED,INE255A01020,gap_fade_050,91.98107700539961,True,True,EQ,247.1,True,20.0,1000.0,500.0,2,1.0,3.254200000000017,5.0,0.05,640014168.835,20.0,1255,1255,886,0,0,0,,,100000.0,18838272.71620954,18938272.71620954,26255.062673442797,2.025162913509773,-0.3374032147727035,-0.3374032147727035,18706173.014327504,0.0031173646749652,1.0,True,False
829,4,POWERGRID,POWERGRID,POWER GRID CORP. LTD.,INE752E01010,gap_fade_100,91.15094614973002,True,True,EQ,266.0,True,20.0,1000.0,500.0,1,1.0,3.5119999999999774,5.0,0.05,2045111029.025,20.0,294,294,161,0,0,0,,,100000.0,262031.6899103444,362031.68991034443,11975.537747068738,1.187631694678131,-0.1511831512647649,-0.151183151264765,215069.1378992479,0.0022108876326573,1.0,True,False
1092,5,TIMETECHNO,TIMETECHNO,TIME TECHNOPLAST LTD.,INE508G01029,gap_fade_100,89.61302719268377,True,True,EQ,188.49,True,20.0,1000.0,500.0,2,2.0,4.973959999999991,5.0,0.01,603376241.075,20.0,653,653,472,0,0,0,,,100000.0,1335418.6564968645,1435418.6564968645,5748.10428449692,1.103941425074466,-0.2961728933786044,-0.2961728933786044,965181.155436731,0.002039365294294,1.0,True,False
1287,6,MARKSANS,MARKSANS,MARKSANS PHARMA LIMITED,INE750C01026,gap_fade_100,88.39154545896776,True,True,EQ,326.75,True,20.0,1000.0,500.0,1,1.0,4.2935,5.0,0.05,723088181.3,20.0,601,601,436,0,0,0,,,100000.0,985787.9430480592,1085787.9430480592,-1589.244157764202,0.9774661883450464,-0.27152182027577687,-0.2715218202757767,283450.91967782425,0.0016842247954368,1.0,True,False
1326,7,PNB,PNB,PUNJAB NATIONAL BANK,INE160A01022,volume_reversal,88.14296833195505,True,True,EQ,117.0,True,20.0,1000.0,500.0,4,3.0,4.642000000000006,5.0,0.01,1291402376.8049998,20.0,135,135,86,0,0,0,,,100000.0,84096.64561558358,184096.64561558358,7395.785855880546,0.5436146213879153,-0.1553435302361429,-0.155343530236143,120002.17263195652,-0.0007904418256294,1.0,True,False
1351,8,CUB,CUB,CITY UNION BANK LTD,INE491A01021,gap_fade_100,87.89049958651555,True,True,EQ,236.01,True,20.0,1000.0,500.0,2,1.0,3.1320200000000136,5.0,0.01,520786236.12,20.0,396,396,270,0,0,0,,,100000.0,424939.8127934063,524939.8127934063,7991.603598094589,0.9898763425740124,-0.34800211910510725,-0.3480021191051072,350021.84255303966,0.0017190537759427,1.0,True,False
1979,9,REDINGTON,REDINGTON,REDINGTON LIMITED,INE891D01026,gap_fade_100,84.37539524249647,True,True,EQ,371.3,True,20.0,1000.0,500.0,1,1.0,4.902599999999989,5.0,0.05,1285574404.2,20.0,571,571,390,0,0,0,,,100000.0,843661.7247846219,943661.7247846219,-3564.630013548493,1.0211800678108385,-0.5357933530322905,-0.5357933530322905,272092.7994326516,0.0017526300827739,1.0,True,False
2002,10,PETRONET,PETRONET,PETRONET LNG LIMITED,INE347G01014,gap_fade_100,84.24624215595661,True,True,EQ,288.1,True,20.0,1000.0,500.0,1,1.0,3.776200000000023,5.0,0.05,504148000.35,20.0,279,279,157,0,0,0,,,100000.0,149092.4739010929,249092.4739010929,-18313.374671739395,0.7432973339865105,-0.24460094500597473,-0.2446009450059746,75528.05883916671,0.0005747104217622,1.0,True,False
