symbol,mis_margin_percent,listed_mis_multiplier
20MICRONS,20.0,5.0
360ONE,20.0,5.0
3MINDIA,20.0,5.0
5PAISA,20.0,5.0
63MOONS,20.0,5.0
A2ZINFRA,20.0,5.0
AADHARHFC,20.0,5.0
AAREYDRUGS,20.0,5.0
AARTIDRUGS,20.0,5.0
AARTIIND,20.0,5.0
AARTIPHARM,20.0,5.0
AAVAS,20.0,5.0
ABB,20.0,5.0
ABBOTINDIA,20.0,5.0
ABCAPITAL,20.0,5.0
ABDL,20.0,5.0
ABFRL,20.0,5.0
ABLBL,20.0,5.0
ABREL,20.0,5.0
ABSLAMC,20.0,5.0
ABSLBANETF,20.0,5.0
ACC,20.0,5.0
ACE,20.0,5.0
ACI,20.0,5.0
ACMESOLAR,20.0,5.0
ACUTAAS,20.0,5.0
ADANIENSOL,20.0,5.0
ADANIENT,20.0,5.0
ADANIGREEN,20.0,5.0
ADANIPORTS,20.0,5.0
ADANIPOWER,20.0,5.0
ADFFOODS,20.0,5.0
ADOR,20.0,5.0
ADSL,20.0,5.0
ADVAIT,20.0,5.0
ADVANCE,20.0,5.0
ADVENTHTL,20.0,5.0
ADVENZYMES,20.0,5.0
AEGISLOG,20.0,5.0
AEGISVOPAK,20.0,5.0
AEQUS,20.0,5.0
AEROENTER,20.0,5.0
AEROFLEX,20.0,5.0
AEROPLANE,20.0,5.0
AETHER,20.0,5.0
AFCONS,20.0,5.0
AFFLE,20.0,5.0
AGARIND,20.0,5.0
AGARWALEYE,20.0,5.0
AGI,20.0,5.0
AGIIL,20.0,5.0
AGL,20.0,5.0
AHCL,20.0,5.0
AHLUCONT,20.0,5.0
AIAENG,20.0,5.0
AIIL,20.0,5.0
AJANTPHARM,20.0,5.0
AJAXENGG,20.0,5.0
AJMERA,20.0,5.0
AKUMS,20.0,5.0
ALBERTDAVD,20.0,5.0
ALEMBICLTD,20.0,5.0
ALGOQUANT,20.0,5.0
ALICON,20.0,5.0
ALIVUS,20.0,5.0
ALKEM,20.0,5.0
ALKYLAMINE,20.0,5.0
ALLCARGO,20.0,5.0
ALLTIME,20.0,5.0
ALOKINDS,20.0,5.0
ALPHA,20.0,5.0
ALPHAETF,20.0,5.0
ALPINETEX,20.0,5.0
ALPL30IETF,20.0,5.0
AMAGI,20.0,5.0
AMBER,20.0,5.0
AMBIKCO,20.0,5.0
AMBUJACEM,20.0,5.0
AMRUTANJAN,20.0,5.0
ANANDRATHI,20.0,5.0
ANANTRAJ,20.0,5.0
ANDHRAPAP,20.0,5.0
ANDHRSUGAR,20.0,5.0
ANGELONE,20.0,5.0
ANNAPURNA,100.0,1.0
ANTELOPUS,20.0,5.0
ANTHEM,20.0,5.0
ANUP,20.0,5.0
ANURAS,20.0,5.0
AONELIQUID,20.0,5.0
APARINDS,20.0,5.0
APCOTEXIND,20.0,5.0
APEX,20.0,5.0
APLAPOLLO,20.0,5.0
APLLTD,20.0,5.0
APOLLO,20.0,5.0
APOLLOHOSP,20.0,5.0
APOLLOPIPE,20.0,5.0
APOLLOTYRE,20.0,5.0
APTUS,20.0,5.0
ARDEE,20.0,5.0
ARE&M,20.0,5.0
ARFIN,20.0,5.0
ARIES,20.0,5.0
ARIHANTCAP,20.0,5.0
ARIS,20.0,5.0
ARKADE,20.0,5.0
ARMANFIN,20.0,5.0
ARSSBL,20.0,5.0
ARTEMISMED,20.0,5.0
ARVIND,20.0,5.0
ARVINDFASN,20.0,5.0
ARVSMART,20.0,5.0
ASAHIINDIA,20.0,5.0
ASAL,20.0,5.0
ASALCBR,20.0,5.0
ASHAPURMIN,20.0,5.0
ASHIANA,20.0,5.0
ASHOKA,20.0,5.0
ASHOKLEY,20.0,5.0
ASIANENE,20.0,5.0
ASIANHOTNR,20.0,5.0
ASIANPAINT,20.0,5.0
ASIANTILES,20.0,5.0
ASKAUTOLTD,20.0,5.0
ASMTEC,20.0,5.0
ASTEC,20.0,5.0
ASTERDM,20.0,5.0
ASTRAL,20.0,5.0
ASTRAMICRO,20.0,5.0
ASTRAZEN,20.0,5.0
ATALREAL,20.0,5.0
ATGL,20.0,5.0
ATHERENERG,20.0,5.0
ATLANTAELE,20.0,5.0
ATUL,20.0,5.0
ATULAUTO,20.0,5.0
AUBANK,20.0,5.0
AUGMONT,20.0,5.0
AURIONPRO,20.0,5.0
AUROPHARMA,20.0,5.0
AURUM,20.0,5.0
AUTOAXLES,20.0,5.0
AUTOBEES,20.0,5.0
AUTOIETF,20.0,5.0
AUTOIND,20.0,5.0
AVADHSUGAR,20.0,5.0
AVALON,20.0,5.0
AVANTEL,20.0,5.0
AVANTIFEED,20.0,5.0
AVL,20.0,5.0
AVTNPL,20.0,5.0
AWFIS,20.0,5.0
AWHCL,20.0,5.0
AWL,20.0,5.0
AXISBANK,20.0,5.0
AXISCADES,20.0,5.0
AYE,20.0,5.0
AYMSYNTEX,20.0,5.0
AZAD,20.0,5.0
BAJAJ-AUTO,20.0,5.0
BAJAJCON,20.0,5.0
BAJAJELEC,20.0,5.0
BAJAJFINSV,20.0,5.0
BAJAJHCARE,20.0,5.0
BAJAJHFL,20.0,5.0
BAJAJHIND,20.0,5.0
BAJAJHLDNG,20.0,5.0
BAJEL,20.0,5.0
BAJFINANCE,20.0,5.0
BALAJITELE,20.0,5.0
BALAMINES,20.0,5.0
BALKRISIND,20.0,5.0
BALMLAWRIE,20.0,5.0
BALRAMCHIN,20.0,5.0
BALUFORGE,20.0,5.0
BANARISUG,20.0,5.0
BANCOINDIA,20.0,5.0
BANDHANBNK,20.0,5.0
BANKBARODA,20.0,5.0
BANKBEES,20.0,5.0
BANKBETA,20.0,5.0
BANKETF,20.0,5.0
BANKIETF,20.0,5.0
BANKINDIA,20.0,5.0
BANKNIFTY1,20.0,5.0
BANSALWIRE,20.0,5.0
BASF,20.0,5.0
BATAINDIA,20.0,5.0
BATLIBOI,20.0,5.0
BAYERCROP,20.0,5.0
BBETF0432,20.0,5.0
BBL,20.0,5.0
BBOX,20.0,5.0
BBTC,20.0,5.0
BCG,20.0,5.0
BCLIND,20.0,5.0
BDL,20.0,5.0
BECTORFOOD,20.0,5.0
BEL,20.0,5.0
BELRISE,20.0,5.0
BEML,20.0,5.0
BENGALASM,20.0,5.0
BEPL,20.0,5.0
BERGEPAINT,20.0,5.0
BESTAGRO,20.0,5.0
BETA,20.0,5.0
BFINVEST,20.0,5.0
BFSI,20.0,5.0
BFUTILITIE,20.0,5.0
BHAGCHEM,20.0,5.0
BHAGYANGR,20.0,5.0
BHARATCOAL,20.0,5.0
BHARATFORG,20.0,5.0
BHARATRAS,20.0,5.0
BHARATSE,20.0,5.0
BHARATWIRE,20.0,5.0
