symbol,strategy,initial_investment,modeled_profit,modeled_ending_value,modeled_trades,short_trades,long_trades,t2t_trades,eq_series_trades,eq_only_ideal_fill_profit,median_daily_traded_value,one_year_win_rate,one_year_sharpe,circuit_like_sessions,latest_historical_series
SITINET,gap_fade_050,1000.0,49949.40387616356,50949.40387616356,174,139,35,174,0,0.0,175786.905,0.6896551724137931,12.435543381064615,13,BZ
VHLTD,gap_fade_050,1000.0,36267.45770557724,37267.45770557724,202,187,15,202,0,0.0,1598499.13,0.8267326732673267,11.914250682597002,0,BE
SEAMECLTD,gap_fade_050,1000.0,2240.0895073102915,3240.0895073102915,139,85,54,0,139,2240.0895073102915,56103017.5,0.7122302158273381,4.873407528395509,0,EQ
ARFIN,gap_fade_050,1000.0,1538.897130104232,2538.897130104232,168,113,55,43,125,503.90803499014714,78675417.64,0.6309523809523809,3.054674631545692,0,EQ
ETHOSLTD,gap_fade_050,1000.0,1395.23040472527,2395.23040472527,125,73,52,0,125,1395.23040472527,52686522.150000006,0.64,3.5301216419341337,0,EQ
EFCIL,gap_fade_050,1000.0,1053.7997337306265,2053.7997337306265,138,94,44,0,138,1053.7997337306265,72817153.0,0.6231884057971014,2.4548959626376186,0,EQ
THELEELA,gap_fade_050,1000.0,698.7446337345061,1698.7446337345061,128,71,57,0,128,698.7446337345061,108974903.75,0.671875,2.4031578764360138,0,EQ
SITINET,gap_fade_100,1000.0,49949.40387616356,50949.40387616356,174,139,35,174,0,0.0,175786.905,0.6896551724137931,12.435543381064615,13,BZ
VHLTD,gap_fade_100,1000.0,33653.81902336321,34653.81902336321,175,169,6,175,0,0.0,1598499.13,0.8685714285714285,12.014724738402306,0,BE
ARFIN,gap_fade_100,1000.0,1710.1174601091761,2710.117460109176,118,82,36,33,85,758.2260950754905,78675417.64,0.6610169491525424,3.822993350504266,0,EQ
SEAMECLTD,gap_fade_100,1000.0,1242.301968655464,2242.301968655464,66,44,22,0,66,1242.301968655464,56103017.5,0.7727272727272727,4.411583537490791,0,EQ
EFCIL,gap_fade_100,1000.0,673.2778212570449,1673.277821257045,68,48,20,0,68,673.2778212570449,72817153.0,0.6911764705882353,2.3963838621272227,0,EQ
THELEELA,gap_fade_100,1000.0,600.7466061288349,1600.7466061288349,71,38,33,0,71,600.7466061288349,108974903.75,0.7464788732394366,2.9229539227496786,0,EQ
ETHOSLTD,gap_fade_100,1000.0,487.66550352852346,1487.6655035285235,56,34,22,0,56,487.66550352852346,52686522.150000006,0.625,2.905514991899437,0,EQ
