strategy,symbol,isin,signal_date,entry_date,entry_price,exit_date,exit_price,side,gross_return,estimated_cost,net_return,capital_before,pnl,capital_after,date,series,open,high,low,close,last_price,previous_close,volume,traded_value,circuit_like_flag,scaled_modeled_notional,scaled_notional_div_daily_value,research_notional_div_daily_value,one_paise_fraction_of_entry,official_close_differs_from_last,eligible_same_day_intraday_by_series
gap_fade_050,SITINET,INE965H01011,2025-08-20,2025-08-20,0.52,2025-08-20,0.51,SHORT,0.019230769230769273,0.002,0.01723076923076927,100000.0,1723.0769230769365,101723.07692307694,2025-08-20,BZ,0.52,0.52,0.5,0.51,0.52,0.51,360822,184895.71,False,1000.0,0.005408454311892905,0.5408454311892905,0.019230769230769232,True,False
gap_fade_050,SITINET,INE965H01011,2025-08-21,2025-08-21,0.52,2025-08-21,0.51,SHORT,0.019230769230769273,0.002,0.01723076923076927,101723.07692307694,1752.76686390533,103475.84378698227,2025-08-21,BZ,0.52,0.52,0.5,0.51,0.5,0.51,565689,286847.81,False,1017.2307692307694,0.0035462385758872252,0.3546238575887225,0.019230769230769232,True,False
gap_fade_050,SITINET,INE965H01011,2025-08-22,2025-08-22,0.5,2025-08-22,0.5,LONG,0.0,0.002,-0.002,103475.84378698227,-206.9516875739646,103268.8920994083,2025-08-22,BZ,0.5,0.51,0.49,0.5,0.51,0.51,226475,113568.71,False,1034.7584378698227,0.009111298683148049,0.9111298683148048,0.02,True,False
gap_fade_050,SITINET,INE965H01011,2025-08-25,2025-08-25,0.49,2025-08-25,0.49,LONG,0.0,0.002,-0.002,103268.8920994083,-206.53778419880837,103062.3543152095,2025-08-25,BZ,0.49,0.5,0.49,0.49,0.5,0.5,425464,209542.68,False,1032.688920994083,0.004928298716968224,0.49282987169682235,0.020408163265306124,True,False
gap_fade_050,SITINET,INE965H01011,2025-08-26,2025-08-26,0.48,2025-08-26,0.49,LONG,0.02083333333333326,0.002,0.018833333333333258,103062.3543152095,1941.0076729364373,105003.36198814593,2025-08-26,BZ,0.48,0.5,0.48,0.49,0.5,0.49,150984,74709.03,False,1030.623543152095,0.013795166971811774,1.3795166971811774,0.020833333333333336,True,False
gap_fade_050,SITINET,INE965H01011,2025-08-28,2025-08-28,0.48,2025-08-28,0.49,LONG,0.02083333333333326,0.002,0.018833333333333258,105003.36198814593,1977.5633174434042,106980.92530558934,2025-08-28,BZ,0.48,0.5,0.48,0.49,0.5,0.49,160361,78333.81,False,1050.0336198814593,0.013404602940690097,1.3404602940690098,0.020833333333333336,True,False
gap_fade_050,SITINET,INE965H01011,2025-08-29,2025-08-29,0.5,2025-08-29,0.5,SHORT,-0.0,0.002,-0.002,106980.92530558934,-213.96185061117285,106766.96345497816,2025-08-29,BZ,0.5,0.5,0.49,0.5,0.5,0.49,165828,82096.79,False,1069.8092530558934,0.013031072872104907,1.3031072872104907,0.02,False,False
gap_fade_050,SITINET,INE965H01011,2025-09-01,2025-09-01,0.51,2025-09-01,0.49,SHORT,0.03921568627450989,0.002,0.037215686274509885,106766.96345497816,3973.405816422528,110740.36927140069,2025-09-01,BZ,0.51,0.51,0.49,0.49,0.51,0.5,287095,145093.73,False,1067.6696345497817,0.00735848223455129,0.735848223455129,0.0196078431372549,True,False
gap_fade_050,SITINET,INE965H01011,2025-09-03,2025-09-03,0.5,2025-09-03,0.5,SHORT,-0.0,0.002,-0.002,110740.36927140069,-221.48073854279937,110518.88853285789,2025-09-03,BZ,0.5,0.5,0.49,0.5,0.5,0.49,149844,74827.69,False,1107.4036927140069,0.014799383660166535,1.4799383660166536,0.02,False,False
gap_fade_050,SITINET,INE965H01011,2025-09-04,2025-09-04,0.51,2025-09-04,0.5,SHORT,0.019607843137254943,0.002,0.01760784313725494,110518.88853285789,1945.9992529903247,112464.88778584822,2025-09-04,BZ,0.51,0.51,0.5,0.5,0.5,0.5,55168,27758.64,False,1105.1888853285789,0.03981423028392525,3.9814230283925256,0.0196078431372549,False,False
