combination_rank,symbol,strategy,series,research_initial_investment,net_pnl,sample_tier,evidence_tier,median_daily_value
1,SITINET,gap_fade_050,BZ,100000.0,4994940.387616356,LOW LIQUIDITY,ROBUST POSITIVE,175786.905
2,SITINET,gap_fade_100,BZ,100000.0,4994940.387616356,LOW LIQUIDITY,ROBUST POSITIVE,175786.905
3,ANKITMETAL,gap_fade_100,BZ,100000.0,5709899.1715857405,LOW LIQUIDITY,ROBUST POSITIVE,36059.705
4,FEL,gap_fade_050,BZ,100000.0,2092954.758364808,LOW LIQUIDITY,ROBUST POSITIVE,69747.545
5,FEL,gap_fade_100,BZ,100000.0,2092954.758364808,LOW LIQUIDITY,ROBUST POSITIVE,69747.545
6,KHANDSE,gap_fade_100,EQ,100000.0,4170874.815868268,LOW LIQUIDITY,ROBUST POSITIVE,63992.49
7,KHANDSE,gap_fade_050,EQ,100000.0,4771368.029260767,LOW LIQUIDITY,ROBUST POSITIVE,63992.49
8,MTEDUCARE,gap_fade_050,BE,100000.0,5910028.053520927,LOW LIQUIDITY,ROBUST POSITIVE,38695.335
9,SANWARIA,gap_fade_050,BZ,100000.0,5594332.652381594,LIMITED SAMPLE,ROBUST POSITIVE,158455.40999999997
10,SANWARIA,gap_fade_100,BZ,100000.0,5594332.652381594,LIMITED SAMPLE,ROBUST POSITIVE,158455.40999999997
11,MTEDUCARE,gap_fade_100,BE,100000.0,4655998.10488774,LOW LIQUIDITY,ROBUST POSITIVE,38695.335
12,PREMIER,gap_fade_100,BE,100000.0,1838721.5050718733,LOW LIQUIDITY,ROBUST POSITIVE,19611.57
13,VHLTD,gap_fade_050,BE,100000.0,3626745.770557724,COMPARABLE,ROBUST POSITIVE,1598499.13
14,VHLTD,gap_fade_100,BE,100000.0,3365381.9023363213,COMPARABLE,ROBUST POSITIVE,1598499.13
15,LCCINFOTEC,gap_fade_100,EQ,100000.0,9456741.352382034,LOW LIQUIDITY,ROBUST POSITIVE,237334.535
16,TOUCHWOOD,gap_fade_100,EQ,100000.0,2826794.416124681,LOW LIQUIDITY,ROBUST POSITIVE,194088.55
17,INFOMEDIA,gap_fade_100,EQ,100000.0,11997701.361799031,LIMITED SAMPLE,ROBUST POSITIVE,68006.42
18,MCCHRLS-B,gap_fade_050,EQ,100000.0,1021388.9797901988,LIMITED SAMPLE,ROBUST POSITIVE,77580.0
19,AKI,gap_fade_100,EQ,100000.0,12482172.302155755,LOW LIQUIDITY,ROBUST POSITIVE,405925.015
20,MCCHRLS-B,gap_fade_100,EQ,100000.0,1010908.8477133884,LIMITED SAMPLE,ROBUST POSITIVE,77580.0
