date,starting_equity,ending_equity,status,reason,attempted,quantity,net_pnl,gross_pnl,unresolved,candidate_checks,assumptions,side,reference,tick_size,decision_qualified,ambiguity_flags,decision_time,entry_time,decision_price,decision_quantity,entry_bar_open,modeled_entry_price,symbol,isin,gap,shortlist_rank,initial_investment,stop,target,notional,planned_loss,estimated_stop_charges,adverse_fill_allowance,entry_price,exit_price,exit_bar_time,charges
2026-08-10,1000.0,1000.0,NO_FILL,ENTRY_ADVERSE_LIMIT,True,0,,,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'status': 'NO_FILL', 'reason': 'ENTRY_ADVERSE_LIMIT'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",SHORT,262.13,0.01,True,[],2026-08-10T09:16:00+05:30,2026-08-10T09:17:00+05:30,265.79998779296875,1.0,265.5,265.36,CUPID,INE509F01029,0.015145156983176422,2.0,1000.0,,,,,,,,,,
2026-08-11,1000.0,1000.0,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'SWIGGY', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'HFCL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'KOTAKBANK', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-08-12,1000.0,996.68,CLOSED,STOP,True,1,-3.3200000000000274,-2.9700000000000273,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'status': 'CLOSED', 'reason': 'STOP'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",SHORT,276.65,0.01,True,[],2026-08-12T09:16:00+05:30,2026-08-12T09:17:00+05:30,280.80999755859375,1.0,282.29998779296875,282.15,CUPID,INE509F01029,0.015723838785469013,2.0,1000.0,284.97,276.65,282.15,3.73430000000005,"{'brokerage_entry': 0.09, 'brokerage_exit': 0.09, 'stt': 0.08, 'exchange': 0.02, 'sebi': 0.01, 'ipft': 0.01, 'stamp_duty': 0.01, 'gst': 0.04, 'total': 0.35}",0.5642999999999999,282.15,285.12,2026-08-12T09:22:00+05:30,"{'brokerage_entry': 0.09, 'brokerage_exit': 0.09, 'stt': 0.08, 'exchange': 0.02, 'sebi': 0.01, 'ipft': 0.01, 'stamp_duty': 0.01, 'gst': 0.04, 'total': 0.35}"
2026-08-13,996.68,996.68,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'SWIGGY', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'HFCL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'KOTAKBANK', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-08-14,996.68,996.68,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'HFCL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'SWIGGY', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'KOTAKBANK', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-08-17,996.68,996.68,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'HFCL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'KOTAKBANK', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'JIOFIN', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
2026-08-18,996.68,996.68,NO_FILL,ENTRY_ADVERSE_LIMIT,True,0,,,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'status': 'NO_FILL', 'reason': 'ENTRY_ADVERSE_LIMIT'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",SHORT,267.32,0.01,True,[],2026-08-18T09:16:00+05:30,2026-08-18T09:17:00+05:30,280.25,1.0,277.8299865722656,277.69,CUPID,INE509F01029,0.021247942540775222,2.0,1000.0,,,,,,,,,,
2026-08-19,996.68,996.68,NO_FILL,ENTRY_ADVERSE_LIMIT,True,0,,,False,"[{'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'HFCL', 'status': 'NO_FILL', 'reason': 'ENTRY_ADVERSE_LIMIT'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",SHORT,230.03,0.01,True,[],2026-08-19T09:16:00+05:30,2026-08-19T09:17:00+05:30,232.39999389648438,1.0,230.69000244140625,230.57,HFCL,INE548A01028,0.012911359387905996,3.0,1000.0,,,,,,,,,,
2026-08-20,996.68,992.9,CLOSED,STOP,True,1,-3.779999999999977,-3.3999999999999773,False,"[{'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'ETERNAL', 'status': 'CLOSED', 'reason': 'STOP'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",SHORT,320.0,0.05,True,[],2026-08-20T09:16:00+05:30,2026-08-20T09:17:00+05:30,323.3999938964844,1.0,323.45001220703125,323.25,ETERNAL,INE758T01015,0.01203125000000016,2.0,1000.0,326.45,320.0,323.25,4.226499999999988,"{'brokerage_entry': 0.1, 'brokerage_exit': 0.1, 'stt': 0.09, 'exchange': 0.02, 'sebi': 0.01, 'ipft': 0.01, 'stamp_duty': 0.01, 'gst': 0.04, 'total': 0.38}",0.6465,323.25,326.65,2026-08-20T09:33:00+05:30,"{'brokerage_entry': 0.1, 'brokerage_exit': 0.1, 'stt': 0.09, 'exchange': 0.02, 'sebi': 0.01, 'ipft': 0.01, 'stamp_duty': 0.01, 'gst': 0.04, 'total': 0.38}"
2026-08-21,992.9,992.9,NO_TRADE,NO_QUALIFYING_CANDIDATE,False,0,0.0,0.0,False,"[{'symbol': 'CUPID', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'ETERNAL', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'SWIGGY', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'LICI', 'reason': 'GAP_BELOW_THRESHOLD'}, {'symbol': 'HFCL', 'reason': 'GAP_BELOW_THRESHOLD'}]","['MINUTE_BAR_APPROXIMATION, not a replay of the proposed quote strategy', 'Decision uses the completed 09:15 minute close at 09:16 IST', 'Entry uses the 09:17 minute open with adverse slippage and tick rounding', 'No measured bid/ask, spread, depth, queue, or one-second execution latency', 'Broker intraday permission is assumed, not historically confirmed', 'Caller supplies the session-specific historical tick size', 'Stops round toward entry and targets round to the nearest tick, half up', 'Stop wins ambiguous intrabar stop/target ordering unless the open resolves it', 'Targets require a price strictly through the limit and fill at the limit', 'Target limits have no extra adverse slippage below their limit price', 'Missing candles after entry leave an unresolved position and block new entries']",,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
