date,initial_investment,status,symbol,reason,quantity,net_pnl,cumulative_pnl,ending_equity,realized_drawdown
2026-08-10,1000.0,NO_FILL,CUPID,ENTRY_ADVERSE_LIMIT,0,0.0,0.0,1000.0,0.0
2026-08-11,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,0.0,1000.0,0.0
2026-08-12,1000.0,CLOSED,CUPID,STOP,1,-3.3200000000000274,-3.32000000000005,996.68,-0.0033200000000001006
2026-08-13,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-3.32000000000005,996.68,-0.0033200000000001006
2026-08-14,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-3.32000000000005,996.68,-0.0033200000000001006
2026-08-17,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-3.32000000000005,996.68,-0.0033200000000001006
2026-08-18,1000.0,NO_FILL,CUPID,ENTRY_ADVERSE_LIMIT,0,0.0,-3.32000000000005,996.68,-0.0033200000000001006
2026-08-19,1000.0,NO_FILL,HFCL,ENTRY_ADVERSE_LIMIT,0,0.0,-3.32000000000005,996.68,-0.0033200000000001006
2026-08-20,1000.0,CLOSED,ETERNAL,STOP,1,-3.779999999999977,-7.100000000000023,992.9,-0.007099999999999995
2026-08-21,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-08-24,1000.0,NO_TRADE,,ETERNAL: DECISION_TARGET_DISTANCE,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-08-25,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-08-26,1000.0,NO_FILL,GROWW,ENTRY_ADVERSE_LIMIT,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-08-27,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-08-28,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-08-31,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-09-01,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-09-02,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-09-03,1000.0,NO_TRADE,,NO_OPENING_GAP_SIGNAL,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
2026-09-04,1000.0,NO_FILL,GROWW,ENTRY_ADVERSE_LIMIT,0,0.0,-7.100000000000023,992.9,-0.007099999999999995
