date,initial_investment,watchlist_size,gap_candidates,status,net_pnl,ending_equity
2026-08-10,1000.0,5,1,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-11,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-12,1000.0,5,1,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-13,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-14,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-17,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-18,1000.0,5,1,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-19,1000.0,5,1,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-20,1000.0,5,1,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-21,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-24,1000.0,5,1,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-25,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-26,1000.0,5,1,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-27,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-28,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-08-31,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-09-01,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-09-02,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-09-03,1000.0,5,0,EXACT_BACKTEST_UNAVAILABLE,,
2026-09-04,1000.0,5,1,EXACT_BACKTEST_UNAVAILABLE,,
